agency,stop_id,stop_name,route_type,date,shn_route,shn_route_type,x,y
Eastern Contra Costa Transit Authority,810074,East Tregallas Rd & Harbour Dr,3,8/14/2024,4,State,-121.791557,37.996963
Eastern Contra Costa Transit Authority,810088,East Tregallas Rd & Patricia Ave,3,8/14/2024,4,State,-121.795375,37.997616
Eastern Contra Costa Transit Authority,810100,Cavallo Rd & Sunset Dr,3,8/14/2024,4,State,-121.79791,37.998469
Eastern Contra Costa Transit Authority,815293,Cavallo Rd & Sunset Dr,3,8/14/2024,4,State,-121.798075,37.998483
San Francisco Bay Area Rapid Transit District,LAFY,Lafayette,1,8/14/2024,24,State,-122.124644,37.89322
San Francisco Bay Area Rapid Transit District,ORIN,Orinda,1,8/14/2024,24,State,-122.183717,37.878503
Central Contra Costa Transit Authority,831218,Pleasant Hill Rd and Hwy 24,3,8/14/2024,24,State,-122.096062,37.897628
Peninsula Corridor Joint Powers Board,70022,22nd Street Caltrain Station Southbound,2,8/14/2024,280,Interstate,-122.392404,37.757583
Mission Bay Transportation Management Agency,2335513,Berry Street and King Street,3,8/14/2024,280,Interstate,-122.398387,37.771759
Mission Bay Transportation Management Agency,2335510,Berry Street and King Street,3,8/14/2024,280,Interstate,-122.3984212,37.77190223
City and County of San Francisco,15573,4080 Mission St,3,8/14/2024,280,Interstate,-122.428,37.73217
City and County of San Francisco,14562,Evans Ave & Selby St,3,8/14/2024,280,Interstate,-122.394459,37.746281
City and County of San Francisco,17286,Evans Ave & Selby St,3,8/14/2024,280,Interstate,-122.39392,37.746164
City and County of San Francisco,13435,22nd St & Iowa St,3,8/14/2024,280,Interstate,-122.392273,37.757754
City and County of San Francisco,13439,22nd St & Iowa St,3,8/14/2024,280,Interstate,-122.392308,37.757674
City and County of San Francisco,16268,San Jose Ave & Mt Vernon Ave,0,8/14/2024,280,Interstate,-122.448593,37.718284
City and County of San Francisco,17111,San Jose Ave & Mt Vernon Ave,0,8/14/2024,280,Interstate,-122.44864,37.71847
City and County of San Francisco,15781,Ocean Ave/Balboa Park BART Station,3,8/14/2024,280,Interstate,-122.447493,37.722942
Capitol Corridor Joint Powers Authority,74784,Suisun-Fairfield,2,8/14/2024,12,State,-122.041192,38.243446
City of Rio Vista,1540,Western Railway Museum,3,8/14/2024,12,State,-121.87394,38.204359
City of Menlo Park,4210205,Mission/Wellington,3,8/14/2024,82,State,-122.461349,37.70577682
City of Menlo Park,4210207,North Peninsula Food Pantry (San Jose/Bepler),3,8/14/2024,82,State,-122.4615717,37.70610815
City of Menlo Park,3652492,Belmont Caltrain Station,3,8/14/2024,82,State,-122.2777682,37.52199747
San Mateo County Transit District,332227,Mission St & John Daly Blvd,3,8/14/2024,82,State,-122.462343,37.705272
San Mateo County Transit District,332406,San Jose Ave & Bepler St,3,8/14/2024,82,State,-122.461502,37.706065
San Mateo County Transit District,332544,Mission St & Wellington Ave,3,8/14/2024,82,State,-122.461347,37.705753
San Mateo County Transit District,333516,El Camino Real & F St,3,8/14/2024,82,State,-122.463807,37.682941
San Mateo County Transit District,334076,El Camino & Arroyo Dr,3,8/14/2024,82,State,-122.436482,37.65686
San Mateo County Transit District,334084,1200 El Camino Real-Kaiser Med Ctr South SF,3,8/14/2024,82,State,-122.43948,37.658627
San Mateo County Transit District,334085,El Camino Real & Kaiser Hospital,3,8/14/2024,82,State,-122.439524,37.65828
San Mateo County Transit District,334410,El Camino Real & Alta Loma Stairway,3,8/14/2024,82,State,-122.443469,37.661748
San Mateo County Transit District,332230,Mission St & E Market St,3,8/14/2024,82,State,-122.46589,37.689194
San Mateo County Transit District,333515,San Pedro Rd & Mission St,3,8/14/2024,82,State,-122.466475,37.689283
San Mateo County Transit District,334082,El Camino Real & Hickey Blvd,3,8/14/2024,82,State,-122.451056,37.665946
San Mateo County Transit District,334086,El Camino Real & Costco,3,8/14/2024,82,State,-122.448701,37.664352
San Mateo County Transit District,335067,El Camino Real & Hwy 380,3,8/14/2024,82,State,-122.41851,37.631619
San Mateo County Transit District,335079,El Camino Real & Sneath Ln,3,8/14/2024,82,State,-122.421289,37.636362
San Mateo County Transit District,332214,Mission St & Bismark St,3,8/14/2024,82,State,-122.464398,37.696305
San Mateo County Transit District,332215,Mission St & Bismark St,3,8/14/2024,82,State,-122.464761,37.695921
San Mateo County Transit District,332216,Mission St & Alp Ave,3,8/14/2024,82,State,-122.462945,37.702545
San Mateo County Transit District,332220,Mission St & Eastlake Ave,3,8/14/2024,82,State,-122.463663,37.699809
San Mateo County Transit District,332232,Mission St & Parkview Ave,3,8/14/2024,82,State,-122.463454,37.701678
San Mateo County Transit District,332233,Mission St & Price St,3,8/14/2024,82,State,-122.464928,37.69282
San Mateo County Transit District,332235,Mission St & School St,3,8/14/2024,82,State,-122.465157,37.6935
San Mateo County Transit District,332238,Mission St & Westlake Ave,3,8/14/2024,82,State,-122.464039,37.699581
San Mateo County Transit District,332554,San Jose Ave & Shakespeare St,3,8/14/2024,82,State,-122.460599,37.70658
San Mateo County Transit District,332170,John Daly Blvd & Mission St,3,8/14/2024,82,State,-122.46252,37.704994
San Mateo County Transit District,332171,John Daly Blvd & Mission St,3,8/14/2024,82,State,-122.462522,37.705072
San Mateo County Transit District,341134,El Camino Real & 31st Ave-Hillsdale Shopping Ctr,3,8/14/2024,82,State,-122.299674,37.538596
San Mateo County Transit District,341135,El Camino Real & 31st Ave,3,8/14/2024,82,State,-122.300897,37.540131
San Mateo County Transit District,341153,El Camino Real & Hillsdale Blvd,3,8/14/2024,82,State,-122.297005,37.536236
San Mateo County Transit District,343607,San Carlos Caltrain Station,3,8/14/2024,82,State,-122.258953,37.506411
San Mateo County Transit District,344085,El Camino Real & Jefferson Ave,3,8/14/2024,82,State,-122.231384,37.483516
San Mateo County Transit District,344084,El Camino Real & Jefferson Ave,3,8/14/2024,82,State,-122.23022,37.482364
San Mateo County Transit District,344086,El Camino Real & Lincoln Ave,3,8/14/2024,82,State,-122.226842,37.479885
San Mateo County Transit District,344087,El Camino Real & Pine St,3,8/14/2024,82,State,-122.223848,37.478081
San Mateo County Transit District,344090,El Camino Real & Oak Ave,3,8/14/2024,82,State,-122.22387,37.477775
San Mateo County Transit District,344094,El Camino Real & Maple St,3,8/14/2024,82,State,-122.227173,37.480493
San Mateo County Transit District,334088,El Camino Real & Southwood Dr,3,8/14/2024,82,State,-122.43241,37.652805
San Mateo County Transit District,334090,El Camino Real & W Orange Ave,3,8/14/2024,82,State,-122.430675,37.650032
San Mateo County Transit District,336036,El Camino Real & Murchison Dr,3,8/14/2024,82,State,-122.386036,37.597125
San Mateo County Transit District,341628,28th Ave & S El Camino Real,3,8/14/2024,82,State,-122.303019,37.541505
San Mateo County Transit District,341137,El Camino Real & 37th Ave,3,8/14/2024,82,State,-122.294877,37.534499
San Mateo County Transit District,343053,El Camino Real & Arroyo Ave-San Carlos,3,8/14/2024,82,State,-122.255629,37.503576
San Mateo County Transit District,343054,El Camino Real & Arroyo Ave-San Carlos,3,8/14/2024,82,State,-122.255394,37.503023
San Mateo County Transit District,343063,El Camino Real & San Carlos Ave,3,8/14/2024,82,State,-122.260022,37.506892
San Mateo County Transit District,343064,El Camino Real & San Carlos Ave,3,8/14/2024,82,State,-122.259186,37.506554
San Mateo County Transit District,343608,El Camino Real & Brittan Ave,3,8/14/2024,82,State,-122.252656,37.501096
San Mateo County Transit District,334087,El Camino Real & McLellan Dr-South SF BART,3,8/14/2024,82,State,-122.446594,37.663357
San Mateo County Transit District,334073,El Camino Real & 1st St,3,8/14/2024,82,State,-122.432287,37.653284
San Mateo County Transit District,334077,El Camino & Arroyo Dr,3,8/14/2024,82,State,-122.436081,37.656146
San Mateo County Transit District,334080,El Camino Real & Country Club Dr,3,8/14/2024,82,State,-122.427538,37.645655
San Mateo County Transit District,340032,El Camino Real & Adeline Dr,3,8/14/2024,82,State,-122.375022,37.58941
San Mateo County Transit District,340033,El Camino Real & Adeline Dr,3,8/14/2024,82,State,-122.375054,37.589257
San Mateo County Transit District,340034,El Camino Real & Arc Way,3,8/14/2024,82,State,-122.358965,37.580056
San Mateo County Transit District,340035,El Camino Real & Bellevue Ave,3,8/14/2024,82,State,-122.35321,37.577292
San Mateo County Transit District,340036,El Camino Real & Bellevue Ave.,3,8/14/2024,82,State,-122.352397,37.576924
San Mateo County Transit District,340037,El Camino Real & Broadway-Burlingame,3,8/14/2024,82,State,-122.365967,37.584154
San Mateo County Transit District,340038,El Camino Real & Broadway-Burlingame,3,8/14/2024,82,State,-122.366001,37.583967
San Mateo County Transit District,340039,El Camino Real & Burlingame Ave,3,8/14/2024,82,State,-122.350446,37.576574
San Mateo County Transit District,340040,El Camino Real & Burlingame Ave,3,8/14/2024,82,State,-122.349376,37.576146
San Mateo County Transit District,340041,El Camino Real & Easton Dr,3,8/14/2024,82,State,-122.36953,37.586134
San Mateo County Transit District,340042,El Camino Real & Easton Dr,3,8/14/2024,82,State,-122.369327,37.58587
San Mateo County Transit District,340043,El Camino Real & Sanchez Ave,3,8/14/2024,82,State,-122.361476,37.581401
San Mateo County Transit District,340044,El Camino Real & Hillside Dr,3,8/14/2024,82,State,-122.372174,37.587728
San Mateo County Transit District,340045,El Camino Real & Hillside Dr,3,8/14/2024,82,State,-122.371717,37.587336
San Mateo County Transit District,340046,El Camino Real & Howard Ave,3,8/14/2024,82,State,-122.348021,37.575959
San Mateo County Transit District,340047,El Camino Real & Howard Ave,3,8/14/2024,82,State,-122.347527,37.575657
San Mateo County Transit District,340049,El Camino Real & Murchison Dr,3,8/14/2024,82,State,-122.385613,37.596249
San Mateo County Transit District,340050,El Camino Real & Oak Grove Ave-Burlingame,3,8/14/2024,82,State,-122.356521,37.578864
San Mateo County Transit District,340051,El Camino Real & Oak Grove Ave-Burlingame,3,8/14/2024,82,State,-122.355872,37.578338
San Mateo County Transit District,340052,El Camino Real & Palm Dr,3,8/14/2024,82,State,-122.35914,37.580309
San Mateo County Transit District,340053,El Camino Real & Ray Dr,3,8/14/2024,82,State,-122.377709,37.59073
San Mateo County Transit District,340054,El Camino Real & Rosedale Ave,3,8/14/2024,82,State,-122.378209,37.591213
San Mateo County Transit District,340055,El Camino Real & Sanchez Ave,3,8/14/2024,82,State,-122.362746,37.582323
San Mateo County Transit District,340057,El Camino Real & Trousdale Dr,3,8/14/2024,82,State,-122.383262,37.594727
San Mateo County Transit District,340058,El Camino Real & Trousdale Dr,3,8/14/2024,82,State,-122.382975,37.594106
San Mateo County Transit District,341121,El Camino Real & 12th Ave,3,8/14/2024,82,State,-122.318367,37.556302
San Mateo County Transit District,341123,El Camino Real & 17th Ave,3,8/14/2024,82,State,-122.31424,37.552474
San Mateo County Transit District,341124,El Camino Real & 20th Ave,3,8/14/2024,82,State,-122.310668,37.548843
San Mateo County Transit District,341125,El Camino Real & E 20th Ave,3,8/14/2024,82,State,-122.310076,37.548703
San Mateo County Transit District,341126,El Camino Real & E 25th Ave,3,8/14/2024,82,State,-122.305286,37.54394
San Mateo County Transit District,341127,El Camino Real & E 25th Ave,3,8/14/2024,82,State,-122.305762,37.544785
San Mateo County Transit District,341128,El Camino Real & 27th Ave,3,8/14/2024,82,State,-122.30367,37.542377
San Mateo County Transit District,341129,El Camino Real & 28th Ave,3,8/14/2024,82,State,-122.30291,37.541982
San Mateo County Transit District,341130,El Camino Real & 2nd Ave,3,8/14/2024,82,State,-122.32693,37.563768
San Mateo County Transit District,341132,El Camino Real & 2nd Ave,3,8/14/2024,82,State,-122.326973,37.564145
San Mateo County Transit District,341136,El Camino Real & 37th Ave,3,8/14/2024,82,State,-122.294383,37.534433
San Mateo County Transit District,341138,El Camino Real & 39th Ave,3,8/14/2024,82,State,-122.292976,37.533013
San Mateo County Transit District,341139,El Camino Real & 39th Ave,3,8/14/2024,82,State,-122.292426,37.532912
San Mateo County Transit District,341140,El Camino Real & 41st Ave,3,8/14/2024,82,State,-122.289836,37.530758
San Mateo County Transit District,341141,El Camino Real & 42nd Ave,3,8/14/2024,82,State,-122.289392,37.530704
San Mateo County Transit District,341142,El Camino Real & 43rd Ave,3,8/14/2024,82,State,-122.287781,37.52938
San Mateo County Transit District,341143,El Camino Real & 4th Ave,3,8/14/2024,82,State,-122.324971,37.561919
San Mateo County Transit District,341145,El Camino Real & E 5th Ave,3,8/14/2024,82,State,-122.324614,37.561947
San Mateo County Transit District,341147,El Camino Real & 9th Ave,3,8/14/2024,82,State,-122.322014,37.559202
San Mateo County Transit District,341148,El Camino Real & 9th Ave,3,8/14/2024,82,State,-122.321979,37.559539
San Mateo County Transit District,341149,El Camino Real & 17th Ave,3,8/14/2024,82,State,-122.313886,37.551834
San Mateo County Transit District,341150,El Camino Real & Grand Blvd,3,8/14/2024,82,State,-122.338082,37.571593
San Mateo County Transit District,341151,El Camino Real & El Cerrito Ave,3,8/14/2024,82,State,-122.330207,37.567024
San Mateo County Transit District,341154,El Camino Real & Hobart Ave,3,8/14/2024,82,State,-122.318239,37.555827
San Mateo County Transit District,341156,El Camino Real & Poplar Ave,3,8/14/2024,82,State,-122.335156,37.569734
San Mateo County Transit District,341157,El Camino Real & Poplar Ave,3,8/14/2024,82,State,-122.335591,37.57013
San Mateo County Transit District,341158,El Camino Real & State St,3,8/14/2024,82,State,-122.340755,37.573459
San Mateo County Transit District,341159,El Camino Real & Tilton Ave,3,8/14/2024,82,State,-122.330541,37.567399
San Mateo County Transit District,341160,El Camino Real & Warren Rd,3,8/14/2024,82,State,-122.340884,37.573359
San Mateo County Transit District,341161,El Camino Real & Bellevue Ave,3,8/14/2024,82,State,-122.337354,37.570895
San Mateo County Transit District,342044,El Camino Real & 5th Ave-Belmont,3,8/14/2024,82,State,-122.26839,37.514119
San Mateo County Transit District,342045,El Camino Real & 5th Ave-Belmont,3,8/14/2024,82,State,-122.268734,37.514102
San Mateo County Transit District,342047,El Camino Real & Davey Glen Rd,3,8/14/2024,82,State,-122.283194,37.526595
San Mateo County Transit District,342048,El Camino Real & Davey Glen Rd,3,8/14/2024,82,State,-122.283505,37.526387
San Mateo County Transit District,342049,El Camino Real & Harbor Blvd,3,8/14/2024,82,State,-122.272489,37.517734
San Mateo County Transit District,342050,El Camino Real & Harbor Blvd,3,8/14/2024,82,State,-122.271954,37.516879
San Mateo County Transit District,342052,El Camino Real & Ralston Ave,3,8/14/2024,82,State,-122.275617,37.519951
San Mateo County Transit District,342053,El Camino Real & Ralston Ave,3,8/14/2024,82,State,-122.276657,37.521213
San Mateo County Transit District,342054,El Camino Real & Ruth Ave,3,8/14/2024,82,State,-122.286794,37.52901
San Mateo County Transit District,343055,El Camino Real & Belmont Ave,3,8/14/2024,82,State,-122.248745,37.497643
San Mateo County Transit District,343056,El Camino Real & Belmont Ave,3,8/14/2024,82,State,-122.248791,37.497331
San Mateo County Transit District,343058,El Camino Real & Brittan Ave,3,8/14/2024,82,State,-122.25229,37.500383
San Mateo County Transit District,343059,El Camino Real & Eaton Ave,3,8/14/2024,82,State,-122.244464,37.493618
San Mateo County Transit District,343061,El Camino Real & Hull Dr,3,8/14/2024,82,State,-122.265865,37.51127
San Mateo County Transit District,343062,El Camino Real & Oak St,3,8/14/2024,82,State,-122.264789,37.510966
San Mateo County Transit District,343065,El Camino Real & Saint Francis Way,3,8/14/2024,82,State,-122.245736,37.495016
San Mateo County Transit District,344069,El Camino Real & Brewster Ave,3,8/14/2024,82,State,-122.23559,37.48665
San Mateo County Transit District,344070,El Camino Real & Brewster Ave,3,8/14/2024,82,State,-122.23621,37.4875
San Mateo County Transit District,344079,El Camino Real & Whipple Ave,3,8/14/2024,82,State,-122.239707,37.490101
San Mateo County Transit District,344080,El Camino Real & Whipple Ave,3,8/14/2024,82,State,-122.239901,37.490721
San Mateo County Transit District,344082,El Camino Real & Hopkins Ave,3,8/14/2024,82,State,-122.237968,37.488568
San Mateo County Transit District,344083,El Camino Real & Hopkins Ave,3,8/14/2024,82,State,-122.238344,37.489373
San Mateo County Transit District,344095,El Camino Real & Winklebleck St,3,8/14/2024,82,State,-122.233802,37.485375
San Mateo County Transit District,341030,4th Ave & El Camino Real-San Mateo,3,8/14/2024,82,State,-122.325479,37.56209
San Mateo County Transit District,341031,4th Ave. & El Camino Real-San Mateo,3,8/14/2024,82,State,-122.325307,37.562073
San Mateo County Transit District,333004,El Camino Real & Colma Blvd,3,8/14/2024,82,State,-122.462066,37.680129
San Mateo County Transit District,333005,El Camino Real & Colma Blvd,3,8/14/2024,82,State,-122.461345,37.67988
San Mateo County Transit District,333006,El Camino Real & Old Mission Rd,3,8/14/2024,82,State,-122.454968,37.67402
San Mateo County Transit District,333007,El Camino Real & Old Mission Rd,3,8/14/2024,82,State,-122.454932,37.67344
San Mateo County Transit District,333010,El Camino Real & Serramonte Blvd,3,8/14/2024,82,State,-122.458203,37.676326
San Mateo County Transit District,333011,El Camino Real & Serramonte Blvd,3,8/14/2024,82,State,-122.457588,37.676217
San Mateo County Transit District,334078,El Camino Real & Brentwood Dr,3,8/14/2024,82,State,-122.424817,37.641987
San Mateo County Transit District,334079,El Camino Real & BART-South SF,3,8/14/2024,82,State,-122.444987,37.663301
San Mateo County Transit District,334081,El Camino Real & Country Club Dr,3,8/14/2024,82,State,-122.4274,37.646036
San Mateo County Transit District,334083,El Camino Real & Hickey Blvd,3,8/14/2024,82,State,-122.450952,37.666263
San Mateo County Transit District,334089,El Camino Real & Spruce Ave,3,8/14/2024,82,State,-122.425152,37.643042
San Mateo County Transit District,334091,El Camino Real & W Orange Ave,3,8/14/2024,82,State,-122.430538,37.650502
San Mateo County Transit District,335062,El Camino Real & Angus Ave W,3,8/14/2024,82,State,-122.414194,37.62543
San Mateo County Transit District,335063,El Camino Real & Angus Ave W,3,8/14/2024,82,State,-122.414135,37.624728
San Mateo County Transit District,335070,El Camino Real & Jenevein Ave,3,8/14/2024,82,State,-122.41264,37.622643
San Mateo County Transit District,335071,El Camino Real & Jenevein Ave,3,8/14/2024,82,State,-122.412445,37.622938
San Mateo County Transit District,335073,El Camino Real & San Bruno Ave,3,8/14/2024,82,State,-122.416651,37.629171
San Mateo County Transit District,335074,El Camino Real & San Bruno Ave,3,8/14/2024,82,State,-122.416342,37.628082
San Mateo County Transit District,335075,El Camino Real & San Felipe Ave,3,8/14/2024,82,State,-122.408781,37.617898
San Mateo County Transit District,335076,El Camino Real & San Felipe Ave,3,8/14/2024,82,State,-122.408827,37.617522
San Mateo County Transit District,335078,El Camino Real & San Diego Ave,3,8/14/2024,82,State,-122.403705,37.612844
San Mateo County Transit District,336027,El Camino Real & Center St-Millbrae,3,8/14/2024,82,State,-122.398854,37.607458
San Mateo County Transit District,336028,El Camino Real & Center St-Millbrae,3,8/14/2024,82,State,-122.398851,37.607874
San Mateo County Transit District,336034,El Camino Real & Linden Ave,3,8/14/2024,82,State,-122.388219,37.599547
San Mateo County Transit District,336037,El Camino Real & Park Pl,3,8/14/2024,82,State,-122.404865,37.61353
San Mateo County Transit District,336038,El Camino Real & Silva Ave,3,8/14/2024,82,State,-122.394229,37.603827
San Mateo County Transit District,336039,El Camino Real & Silva Ave,3,8/14/2024,82,State,-122.394124,37.604044
San Mateo County Transit District,336627,El Camino Real & Victoria Ave,3,8/14/2024,82,State,-122.389438,37.600146
San Mateo County Transit District,336628,El Camino Real & Victoria Ave,3,8/14/2024,82,State,-122.389844,37.600826
San Mateo County Transit District,344074,El Camino Real & Charter St,3,8/14/2024,82,State,-122.218368,37.474119
San Mateo County Transit District,344075,El Camino Real & Center St-Redwood City,3,8/14/2024,82,State,-122.217661,37.473286
San Mateo County Transit District,344091,El Camino Real & Oakwood Dr,3,8/14/2024,82,State,-122.213659,37.470364
San Mateo County Transit District,344900,El Camino Real & Dumbarton Ave,3,8/14/2024,82,State,-122.213201,37.470402
San Mateo County Transit District,345016,El Camino Real & Isabella Ave,3,8/14/2024,82,State,-122.196005,37.459917
San Mateo County Transit District,345017,1000 El Camino Real-Menlo College,3,8/14/2024,82,State,-122.191284,37.457543
San Mateo County Transit District,345022,El Camino Real & Watkins Ave,3,8/14/2024,82,State,-122.195358,37.459854
San Mateo County Transit District,345400,El Camino Real & 5th Ave,3,8/14/2024,82,State,-122.208728,37.466759
San Mateo County Transit District,346042,El Camino Real & Encinal Ave,3,8/14/2024,82,State,-122.190904,37.457614
San Mateo County Transit District,346045,El Camino Real & Middle Ave,3,8/14/2024,82,State,-122.177694,37.450628
San Mateo County Transit District,346046,El Camino Real & Middle Ave,3,8/14/2024,82,State,-122.177994,37.451127
San Mateo County Transit District,346047,El Camino Real & Oak Grove Ave-Menlo Park Caltrain,3,8/14/2024,82,State,-122.184196,37.454045
San Mateo County Transit District,346049,El Camino Real & Ravenswood Ave,3,8/14/2024,82,State,-122.182107,37.453309
San Mateo County Transit District,332234,Mission St & San Pedro Ave,3,8/14/2024,82,State,-122.466241,37.68882
City of South San Francisco,334073,1st St & El Camino Real,3,8/14/2024,82,State,-122.432279,37.653218
City of South San Francisco,334076,Arroyo Dr & El Camino Real,3,8/14/2024,82,State,-122.43605,37.656539
City of South San Francisco,334084,ECR & Kaiser,3,8/14/2024,82,State,-122.439542,37.658641
City of South San Francisco,334091,El Camino Real & W Orange Ave,3,8/14/2024,82,State,-122.430573,37.65055
City of South San Francisco,334027,Arroyo Dr & El Camino Real,3,8/14/2024,82,State,-122.436233,37.656254
City of South San Francisco,334085,ERC & Kaiser SB,3,8/14/2024,82,State,-122.439494,37.65828
City of South San Francisco,9408030,El Camino Real & Southwood Dr,3,8/14/2024,82,State,-122.432445,37.652899
City of South San Francisco,9408031,El Camino Real & W Orange Ave,3,8/14/2024,82,State,-122.430637,37.650011
City of South San Francisco,218,ECR / W Orange,3,8/14/2024,82,State,-122.430599,37.65027
City of South San Francisco,219,ECR / 1st St (Southwood),3,8/14/2024,82,State,-122.432279,37.653217
City of South San Francisco,220,ECR / Arroyo,3,8/14/2024,82,State,-122.436211,37.656661
San Mateo County Transit District,341152,El Camino Real & Hillsdale Blvd,3,8/14/2024,82,State,-122.298087,37.537881
San Mateo County Transit District,335080,El Camino Real & Sneath Ln,3,8/14/2024,82,State,-122.421694,37.637857
San Mateo County Transit District,345900,El Camino Real & 5th Ave,3,8/14/2024,82,State,-122.209432,37.467725
City of South San Francisco,221,ECR / Kaiser,3,8/14/2024,82,State,-122.440053,37.65908
City of Menlo Park,4210127,Willow Rd & Newbridge St,3,8/14/2024,114,State,-122.1540492,37.47318271
City of Menlo Park,4210128,Willow Rd & Newbridge St,3,8/14/2024,114,State,-122.1546915,37.47273167
City of Menlo Park,4210130,Ivy Dr & Willow Rd,3,8/14/2024,114,State,-122.1530519,37.47599798
Dumbarton Bridge Regional Operations Consortium,53189,Willow Rd & Hamilton Av,3,8/14/2024,114,State,-122.151368,37.479215
Dumbarton Bridge Regional Operations Consortium,53472,Willow Rd & Newbridge St,3,8/14/2024,114,State,-122.1547839,37.4726179
Dumbarton Bridge Regional Operations Consortium,57675,Willow Rd & Newbridge St,3,8/14/2024,114,State,-122.1541122,37.4731177
Dumbarton Bridge Regional Operations Consortium,58299,Willow Rd & Hamilton Av,3,8/14/2024,114,State,-122.1507049,37.4798502
Central Contra Costa Transit Authority,831054,S Main St and Crest Ave,3,8/14/2024,680,Interstate,-122.051007,37.881105
Central Contra Costa Transit Authority,831653,Montevideo Dr and San Ramon Valley Blvd,3,8/14/2024,680,Interstate,-121.957119,37.7473
Central Contra Costa Transit Authority,831657,Montevideo Dr and San Ramon Valley Blvd,3,8/14/2024,680,Interstate,-121.957475,37.747348
Central Contra Costa Transit Authority,831077,Camino Ramon and San Thomas Way,3,8/14/2024,680,Interstate,-121.989344,37.804118
Central Contra Costa Transit Authority,831078,Camino Ramon and El Capitan Dr,3,8/14/2024,680,Interstate,-121.987239,37.799616
Central Contra Costa Transit Authority,831079,Camino Ramon and Saint Patricks Dr,3,8/14/2024,680,Interstate,-121.984517,37.796053
Central Contra Costa Transit Authority,831083,Camino Ramon and El Capitan Dr,3,8/14/2024,680,Interstate,-121.987675,37.800486
Central Contra Costa Transit Authority,831084,Camino Ramon and San Thomas Way,3,8/14/2024,680,Interstate,-121.989584,37.804686
Central Contra Costa Transit Authority,831891,S Main St and Creekside Dr,3,8/14/2024,680,Interstate,-122.055755,37.886918
Central Contra Costa Transit Authority,831434,Buskirk Ave and Mayhew Way,3,8/14/2024,680,Interstate,-122.059869,37.936958
Dumbarton Bridge Regional Operations Consortium,58493,Page Mill Rd & El Camino Real,3,8/14/2024,82,State,-122.1416575,37.4232793
Mountain View Transportation Management Association,860349,El Camino @ Distel (EB),3,8/14/2024,82,State,-122.1047634,37.39684985
Mountain View Transportation Management Association,866039,El Camino @ Distel (WB),3,8/14/2024,82,State,-122.1046678,37.39715235
San Mateo County Transit District,347016,El Camino Real & Quarry Rd-Stanford Shopping Ctr,3,8/14/2024,82,State,-122.168262,37.444456
San Mateo County Transit District,347017,El Camino Real & Quarry Rd-Stanford Shopping Ctr,3,8/14/2024,82,State,-122.168385,37.444092
Santa Clara Valley Transportation Authority,60327,El Camino and Stanford Shopping Center,3,8/14/2024,82,State,-122.168376,37.444098
Santa Clara Valley Transportation Authority,60020,El Camino & Lafayette,3,8/14/2024,82,State,-121.945135,37.355057
Santa Clara Valley Transportation Authority,60329,El Camino & Palm,3,8/14/2024,82,State,-122.162394,37.439113
Santa Clara Valley Transportation Authority,60330,El Camino & Galvez,3,8/14/2024,82,State,-122.159821,37.436861
Santa Clara Valley Transportation Authority,60331,El Camino & Sam McDonald,3,8/14/2024,82,State,-122.157257,37.434625
Santa Clara Valley Transportation Authority,60332,El Camino & Churchill,3,8/14/2024,82,State,-122.154564,37.432227
Santa Clara Valley Transportation Authority,60333,El Camino & Serra,3,8/14/2024,82,State,-122.151525,37.42959
Santa Clara Valley Transportation Authority,60334,El Camino & Oxford,3,8/14/2024,82,State,-122.148299,37.426745
Santa Clara Valley Transportation Authority,60335,El Camino & California,3,8/14/2024,82,State,-122.145651,37.424787
Santa Clara Valley Transportation Authority,60336,El Camino & Page Mill,3,8/14/2024,82,State,-122.141476,37.422583
Santa Clara Valley Transportation Authority,60337,El Camino & Hansen,3,8/14/2024,82,State,-122.137603,37.42057
Santa Clara Valley Transportation Authority,60338,El Camino & Matadero,3,8/14/2024,82,State,-122.134361,37.418909
Santa Clara Valley Transportation Authority,60339,El Camino & Barron,3,8/14/2024,82,State,-122.132169,37.417756
Santa Clara Valley Transportation Authority,60340,El Camino & Los Robles,3,8/14/2024,82,State,-122.128994,37.416091
Santa Clara Valley Transportation Authority,60341,El Camino & Vista,3,8/14/2024,82,State,-122.126531,37.41412
Santa Clara Valley Transportation Authority,60342,El Camino & Maybell,3,8/14/2024,82,State,-122.124844,37.412051
Santa Clara Valley Transportation Authority,60343,El Camino & Arastradero,3,8/14/2024,82,State,-122.122914,37.409658
Santa Clara Valley Transportation Authority,60344,El Camino & Dinahs Ct,3,8/14/2024,82,State,-122.120247,37.406367
Santa Clara Valley Transportation Authority,60345,El Camino & Los Altos,3,8/14/2024,82,State,-122.117976,37.404255
Santa Clara Valley Transportation Authority,60346,El Camino & San Antonio,3,8/14/2024,82,State,-122.113278,37.400918
Santa Clara Valley Transportation Authority,60347,El Camino & Showers,3,8/14/2024,82,State,-122.11032,37.399331
Santa Clara Valley Transportation Authority,60348,El Camino & Jordan,3,8/14/2024,82,State,-122.10783,37.398205
Santa Clara Valley Transportation Authority,60350,El Camino & Rengstorff,3,8/14/2024,82,State,-122.103049,37.396075
Santa Clara Valley Transportation Authority,60351,El Camino & Clark,3,8/14/2024,82,State,-122.097488,37.393622
Santa Clara Valley Transportation Authority,60352,El Camino & El Monte,3,8/14/2024,82,State,-122.09514,37.39151
Santa Clara Valley Transportation Authority,60353,El Camino & Pettis,3,8/14/2024,82,State,-122.091737,37.389463
