Grant_Fiscal_Year,Funding_Program,Grant_Number,Project_Year,Organization_Name,UPIN,Description,ALI,Contract_Number,AllocationAmount,Encumbered_Amount,ExpendedAmount,ActiveBalance,ClosedOutBalance,Project_Status
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Mountain Area Regional Transit Authority,BCG0000219,Purchase Replacement < 30 Ft Bus,111204,64CH17-00477,-100582.0,126644.0,93089.03,-193671.03,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Mountain Area Regional Transit Authority,BCG0000219,Purchase Replacement < 30 Ft Bus,111204,64CH17-00477,100582.0,126644.0,93089.03,7492.97,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Mountain Area Regional Transit Authority,BCG0000219,Purchase Replacement < 30 Ft Bus,111204,64CH17-00477,113613.0,126644.0,93089.03,20523.97,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Mountain Area Regional Transit Authority,BCG0000220,Purchase Replacement < 30 Ft Bus,111204,64CH17-00477,13031.0,126644.0,93089.03,-80058.03,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Mountain Area Regional Transit Authority,BCG0000220,Purchase Replacement < 30 Ft Bus,111204,64CH17-00477,100582.0,126644.0,93089.03,7492.97,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Mountain Area Regional Transit Authority,BCG0000221,Purchase Replacement < 30 Ft Bus,111204,64CH17-00477,13031.0,126644.0,93089.03,-80058.03,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Mountain Area Regional Transit Authority,BCG0000221,Purchase Replacement < 30 Ft Bus,111204,64CH17-00477,100582.0,126644.0,93089.03,7492.97,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Mountain Area Regional Transit Authority,BCG0000222,Purchase Replacement < 30 Ft Bus,111204,64CH17-00477,1.0,126645.0,93089.03,-93088.03,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Mountain Area Regional Transit Authority,BCG0000222,Purchase Replacement < 30 Ft Bus,111204,64CH17-00477,13031.0,126645.0,93089.03,-80058.03,0,Open
2017,CMAQ (FTA 5311),CA-2018-048 | 0018000002,2017,Mountain Area Regional Transit Authority,BCG0000222,Purchase Replacement < 30 Ft Bus,111204,64CH17-00477,100581.0,126645.0,93089.03,7491.97,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Alpine County Community Development,BCG0001178,Operating Assistance Sliding Scale,300902,64BO17-00570,48000.0,48000.0,36382.04,11617.96,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Amador Transit,BCG0001215,Operating Assistance Sliding Scale,300902,64BO17-00569,205508.0,205508.0,205508.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Butte County Association of Governments/ Butte Regional Transit,BCG0001159,Operating Assistance Sliding Scale ,300902,64BO17-00522,657263.0,657263.0,657263.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Calaveras County Public Works,BCG0001246,Operating Assistance Sliding Scale,300902,64BO17-00575,245902.0,245902.0,0.0,245902.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Arcata,BCG0001202,Operating Assistance Sliding Scale,300902,64BO17-00497,133132.0,150000.0,133132.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Arvin,BCG0001054,Operating Assistance Sliding Scale,300902,64BO17-00539,65239.0,65239.0,65239.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Auburn,BCG0001264,Operating Assistance Sliding Scale ,300902,64BO17-00512,78928.0,78928.0,78928.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of California City,BCG0001109,Operating Assistance Sliding Scale,300902,64BO17-00564,43513.0,43513.0,43513.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Chowchilla ,BCG0001057,Operating Assistance Sliding Scale ,300902,64BO17-00544,60888.0,60888.0,60888.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Corcoran - Corcoran Area Transit,BCG0001309,Operating Assistance Sliding Scale,300902,64BO17-00540,116537.0,116537.0,116537.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Dinuba ,BCG0001204,Operating Assistance Sliding Scale,300902,64BO17-00545,195179.0,195179.0,195179.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Dixon,BCG0001231,Operating Assistance Sliding Scale,300902,64BO17-00526,237107.0,237107.0,237107.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Fairfield,BCG0001253,Operating Assistance Sliding Scale,300902,64BO17-00525,100000.0,100000.0,100000.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Guadalupe,BCG0001065,Operating Assistance Sliding Scale,300902,64BO17-00538,58649.0,58649.0,58649.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of McFarland,BCG0001321,Operating Assistance Sliding Scale ,300902,64BO17-00542,45584.0,45584.0,45584.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Needles,BCG0001247,Operating Assistance Sliding Scale,300902,64BO17-00563,37361.0,37361.0,37361.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Ojai,BCG0001304,Operating Assistance Sliding Scale,300902,64BO17-00556,374424.0,374424.0,374424.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Porterville,BCG0001266,Operating Assistance Sliding Scale,300902,64BO17-00551,179502.0,179502.0,168023.31,11478.69,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Ridgecrest,BCG0001068,Operating Assistance Sliding Scale,300902,64BO17-00566,87275.0,87275.0,87275.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Rio Vista,BCG0001150,Operating Assistance Sliding Scale,300902,64BO17-00528,68500.0,68500.0,68500.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Shafter,BCG0001059,Operating Assistance Sliding Scale,300902,64BO17-00547,56127.0,56127.0,56127.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Solvang,BCG0001208,Operating Assistance Sliding Scale,300902,64BO17-00537,190921.0,190921.0,190921.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Taft,BCG0001301,Operating Assistance Sliding Scale,300902,64BO17-00543,29248.0,29248.0,29248.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Tehachapi,BCG0001036,Operating Assistance Sliding Scale ,300902,64BO17-00565,37993.0,37993.0,37993.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Wasco,BCG0001185,Operating Assistance Sliding Scale,300902,64BO17-00550,82321.0,82321.0,82321.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,City of Woodlake,BCG0001268,Operating Assistance Sliding Scale ,300902,64BO17-00546,75545.0,75545.0,56268.85,19276.15,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Colusa County Transit Agency,BCG0001251,Operating Assistance Sliding Scale,300902,64BO17-00524,89029.0,89029.0,89029.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Colusa County Transit Agency,BCG0001252,Short Range Transit Planning ,442400,64BP17-00523,26530.0,26530.0,26530.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,County of Los Angeles - Department of Public Works,BCG0001045,Operating Assistance Sliding Scale,300902,64BO17-00557,404396.0,404396.0,404396.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,County of Mariposa,BCG0001181,Operating Assistance Sliding Scale,300902,64BO17-00572,98467.0,98467.0,98467.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,"County of Nevada Public Works, Transit Services Division",BCG0001191,Operating Assistance Sliding Scale,300902,64BO17-00513,449352.0,449352.0,449352.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,County of Sacramento Department of Transportation,BCG0001091,Operating Assistance Sliding Scale,300902,64BO17-00514,277878.0,277878.0,277878.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,County of Shasta Department of Public Works,BCG0001271,Operating Assistance Sliding Scale ,300902,64BO17-00511,121461.0,342264.0,116712.19,4748.81,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,County of Siskiyou,BCG0001038,Operating Assistance Sliding Scale,300902,64BO17-00507,242244.0,242244.0,242244.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,County of Tulare,BCG0001081,Operating Assistance Sliding Scale,300902,64BO17-00554,357156.0,357156.0,357156.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Eastern Sierra Transit Authority,BCG0001074,Operating Assistance Sliding Scale,300902,64BO17-00568,100059.0,100059.0,100059.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Eastern Sierra Transit Authority,BCG0001112,Operating Assistance Sliding Scale,300902,64BO17-00567,76622.0,76622.0,76622.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,El Dorado County Transit Authority,BCG0001255,Operating Assistance Sliding Scale ,300902,64BO17-00515,479675.0,479675.0,479675.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Eureka Transit Service,BCG0001290,Operating Assistance Sliding Scale,300902,64BO17-00500,200000.0,200000.0,200000.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Fresno County Rural Transit Agency,BCG0001313,Operating Assistance Sliding Scale,300902,64BO17-00541,1488110.0,1488110.0,1488110.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Glenn County Transportation Commission,BCG0001213,Operating Assistance Sliding Scale,300902,64BO17-00516,151723.0,151723.0,151723.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Humboldt Transit Authority,BCG0000304,Purchase Replacement Std 40 Ft Bus ,111201,64BC17-00499,343685.0,343685.0,343685.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Humboldt Transit Authority,BCG0001227,Operating Assistance Sliding Scale,300902,64BO17-00498,49498.0,49498.0,49498.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Imperial County Transportation Commission,BCG0001230,Operating Assistance Sliding Scale ,300902,64BO17-00577,280178.0,280178.0,280178.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Kern Regional Transit,BCG0001106,Operating Assistance Sliding Scale,300902,64BO17-00555,962271.0,962271.0,962271.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Kings County Area Public Transit Agency,BCG0001060,Operating Assistance Sliding Scale,300902,64BO17-00548,102222.0,234371.0,129677.0,-27455.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Kings County Area Public Transit Agency,BCG0001060,Operating Assistance Sliding Scale,300902,64BO17-00548,132149.0,234371.0,129677.0,2472.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Lake Transit Authority,BCG0001125,Operating Assistance Sliding Scale ,300902,64BO17-00502,348879.0,348879.0,348879.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Lassen Transit Service Agency,BCG0001046,Operating Assistance Sliding Scale,300902,64BO17-00505,188265.0,188265.0,188265.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Madera County,BCG0001193,Operating Assistance Sliding Scale,300902,64BO17-00552,275574.0,275574.0,225670.35,49903.65,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Madera County,BCG0001195,Preventive Maintenance,117A00,64BC17-00553,54430.0,54430.0,54430.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Marin County Transit District,BCG0001104,Operating Assistance Sliding Scale,300902,64BO17-00527,206437.0,206437.0,206437.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Mendocino Transit Authority,BCG0001198,Operating Assistance Sliding Scale ,300902,64BO17-00501,473918.0,473918.0,473918.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Modoc Transportation Agency,BCG0001103,Operating Assistance Sliding Scale,300902,64BO17-00506,15431.0,86827.0,15431.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Monterey-Salinas Transit,BCG0001168,Operating Assistance Sliding Scale ,300902,64BO17-00533,587864.0,587864.0,587864.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Morongo Basin Transit Authority,BCG0001049,Operating Assistance Sliding Scale,300902,64BO17-00558,375378.0,375378.0,375378.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Mountain Area Regional Transit Authority,BCG0001283,Operating Assistance Sliding Scale,300902,64BO17-00560,265370.0,265370.0,265370.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Napa Valley Transportation Authority,BCG0001123,Operating Assistance Sliding Scale,300902,64BO17-00532,208403.0,208403.0,208403.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,North County Transit District,BCG0001133,Operating Assistance Sliding Scale,300902,64BO17-00578,415297.0,415297.0,415297.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Placer County Public Works (TART & PCT),BCG0001254,Operating Assistance Sliding Scale,300902,64BO17-00521,370383.0,370383.0,370383.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Plumas County Transportation Commission,BCG0001325,Operating Assistance Sliding Scale ,300902,64BO17-00508,107941.0,107941.0,107941.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Redwood Coast Transit Authority,BCG0001217,Preventive Maintenance,117A00,64BC17-00504,48999.0,48999.0,48999.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Redwood Coast Transit Authority,BCG0001218,Operating Assistance Sliding Scale,300902,64BO17-00503,97156.0,175594.0,97156.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Riverside Transit Agency,BCG0001153,Operating Assistance Sliding Scale,300902,64BO17-00562,555774.0,555774.0,555774.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,San Benito County Local Transportation Authority,BCG0001196,Operating Assistance Sliding Scale,300902,64BO17-00536,298186.0,298186.0,298186.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,San Diego Metropolitan Transit System,BCG0001128,Operating Assistance Sliding Scale ,300902,64BO17-00579,143612.0,275000.0,40810.7,102801.3,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,San Luis Obispo Regional Transit Authority,BCG0001120,Operating Assistance Sliding Scale,300902,64BO17-00535,503203.0,503203.0,503203.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,San Mateo County Transit District,BCG0001071,Operating Assistance Sliding Scale,300902,64BO17-00529,154508.0,154508.0,154508.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Santa Clara Valley Transportation Authority,BCG0001237,Operating Assistance Sliding Scale,300902,64BO17-00530,78952.0,78952.0,78952.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Santa Cruz Metropolitan Transit District,BCG0001265,Operating Assistance Sliding Scale,300902,64BO17-00534,170428.0,170428.0,170428.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Sierra County Transportation Commission,BCG0000303,Operating Assistance Sliding Scale,300902,64BO17-00517,48000.0,48000.0,48000.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Sonoma County Transit,BCG0001243,Purchase Replacement < 30 Ft Bus,111204,64BC17-00531,477666.0,477666.0,477666.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Stanislaus County Public Works - Transit Division,BCG0001167,Operating Assistance Sliding Scale,300902,64BO17-00574,437900.0,437900.0,437900.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Sunline Transit Agency,BCG0001293,Operating Assistance Sliding Scale,300902,64BO17-00559,344995.0,344995.0,344995.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Tehama County Transit Agency,BCG0001282,Operating Assistance Sliding Scale,300902,64BO17-00510,342394.0,342394.0,342394.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Town of Truckee,BCG0001148,Operating Assistance Sliding Scale,300902,64BO17-00518,83498.0,83498.0,83498.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Transit Joint Powers Authority for Merced County,BCG0001179,Operating Assistance Sliding Scale ,300902,64BO17-00573,507341.0,507341.0,507341.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Trinity County Department of Transportation ,BCG0001335,Purchase Replacement < 30 Ft Bus ,111204,64BC17-00509,74378.0,74378.0,74378.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Tuolumne County Transit Agency (TCTA),BCG0001121,Operating Assistance Sliding Scale,300902,64BO17-00571,298704.0,298704.0,298704.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Victor Valley Transit Authority,BCG0001141,Operating Assistance Sliding Scale,300902,64BO17-00561,632855.0,632855.0,632855.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Yolo County Transportation District,BCG0001306,Operating Assistance Sliding Scale,300902,64BO17-00520,132191.0,132191.0,132191.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2017,Yuba-Sutter Transit Authority,BCG0001228,Operating Assistance Sliding Scale ,300902,64BO17-00519,139617.0,139617.0,139617.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2018,San Joaquin Regional Transit District,BCG0001388,Buy Van For Svc Expansion,111315,64BC19-00876,47000.0,47000.0,47000.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2018,San Joaquin Regional Transit District,BCG0001389,Buy Van For Svc Expansion,111315,64BC19-00876,47000.0,47000.0,47000.0,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2018,Yuba-Sutter Transit Authority,BCG0001292,Purchase Replacement < 30 Ft Bus ,111204,64BC19-00829,50999.2,75000.0,50999.2,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2018,Yuba-Sutter Transit Authority,BCG0001294,Purchase Replacement < 30 Ft Bus ,111204,64BC19-00829,50999.2,75000.0,50999.2,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2018,Yuba-Sutter Transit Authority,BCG0001295,Purchase Replacement < 30 Ft Bus ,111204,64BC19-00829,50999.2,75000.0,50999.2,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2018,Yuba-Sutter Transit Authority,BCG0001461,Purchase Replacement < 30 Ft Bus ,111204,64BC19-00829,50999.2,75000.0,50999.2,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2018,Yuba-Sutter Transit Authority,BCG0001464,Purchase Replacement < 30 Ft Bus,111204,64BC19-00829,50999.2,75000.0,50999.2,0.0,0,Open
2017,Section 5311,CA-2017-168 | 0017000259,2019,San Joaquin Regional Transit District,BCG0001571,Operating Assistance Sliding Scale ,300902,64BO19-00978,309765.0,1110615.0,309765.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,County of Shasta Department of Public Works,BCG0000103,Operating Assistance ,300902,64CO17-00443,114411.0,175836.0,114411.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Eastern Sierra Transit Authority,BCG0000117,Operating Assistance,300902,64CO17-00445,61285.0,94187.0,0.0,61285.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Eastern Sierra Transit Authority,BCG0000123,Buy 35-Ft Bus For Expansion,111302,64CC17-00444,147977.0,160726.0,147977.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,"Greyhound Lines, Inc.",BCG0000173,Operating Assistance - Route 1 Service from Arcata to San Francisco,300902,64CO17-00447,161293.0,247887.0,161293.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,"Greyhound Lines, Inc.",BCG0000174,Operating Assistance - Route 2 Service from Oakland to Arcata,300902,64CO17-00447,161293.0,247887.0,161293.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,"Greyhound Lines, Inc.",BCG0000175,Buy 35-Ft Bus For Expansion ,111302,64CC17-00446,177060.0,192315.0,173689.4,3370.6,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Humboldt Transit Authority,BCG0000113,Buy 30-Ft Bus For Expansion ,111303,64CC17-00448,168207.0,182699.0,168207.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Mendocino Transit Authority,BCG0000132,Operating Assistance - 5311(f) Intercity Bus Program,300902,64CO17-00449,165990.0,255107.0,165990.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Modoc Transportation Agency,BCG0000073,Operating Assistance - CDV/FB,300902,64CO17-00451,20333.0,20333.0,5431.0,14902.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Modoc Transportation Agency,BCG0000074,Operating Assistance - Reno,300902,64CO17-00451,85822.0,85822.0,70467.0,15355.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Modoc Transportation Agency,BCG0000075,Operating Assistance - Redding,300902,64CO17-00451,42132.0,42132.0,37616.0,4516.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Modoc Transportation Agency,BCG0000076,Operating Assistance - Klamath Falls,300902,64CO17-00451,17458.0,17458.0,13756.0,3702.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Modoc Transportation Agency,BCG0000196,Purchase Replacement < 30 Ft Bus ,111204,64CC17-00450,91119.0,91119.0,76232.76,14886.24,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Monterey-Salinas Transit,BCG0000209,Operating Assistance  (Line 85),300902,64CO17-00453,165989.0,255099.0,165989.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Monterey-Salinas Transit,BCG0000277,BUY 40-FT BUS FOR EXPANSION ,111301,64CC17-00452,265590.0,288473.0,265590.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Monterey-Salinas Transit,BCG0000278,Support Equip/Facilities-Equipment ,114220,64CC17-00452,46036.0,50002.0,46036.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Monterey-Salinas Transit,BCG0000279,Construction - Bus Shelters ,119302,64CC17-00452,5685.0,6451.0,5685.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Monterey-Salinas Transit,BCG0000280,Purchase Misc Communications Equip ,116220,64CC17-00452,8853.0,10074.0,8853.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Plumas County Transportation Commission,BCG0000162,Operating Assistance,300902,64CO17-00454,112793.0,112793.0,94691.13,18101.87,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Redwood Coast Transit Authority,BCG0000189,Operating Assistance--Smith River/Arcada 5311 (f),300902,64CO17-00456,44893.0,300000.0,0.0,44893.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Redwood Coast Transit Authority,BCG0000189,Operating Assistance--Smith River/Arcada 5311 (f),300902,64CO17-00456,165990.0,300000.0,0.0,165990.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Redwood Coast Transit Authority,BCG0000271,Buy 35-Ft Bus For Expansion,111302,,147327.0,0.0,0.0,147327.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,San Diego Metropolitan Transit System,BCG0000095,Operating Assistance ,300902,64CO17-00457,275000.0,275000.0,275000.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Sunline Transit Agency,BCG0000218,Operating Assistance,300902,64CO17-00458,165990.0,255107.0,165990.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Trinity County Department of Transportation ,BCG0000079,Operating Assistance Redding-Willow Creek ,300902,64CO17-00459,120102.0,213909.0,120102.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Trinity County Department of Transportation ,BCG0000080,Operating Assistance  Hayfork-Lewiston,300902,64CO17-00459,142606.0,223198.0,142606.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Yosemite Area Regional Transportation System ,BCG0000225,Operating Assistance,300902,64CO17-00460,300000.0,300000.0,300000.0,0.0,0,Open
2017,Section 5311(f),CA-2017-168 | 0017000259-F,2017,Yosemite Area Regional Transportation System ,BCG0000302,Short Range Transit Planning,442400,64CP17-00474,0.0,100000.0,0.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Butte County Association of Governments/ Butte Regional Transit,BCG0001161,Operating Assistance Sliding Scale,300902,64CO18-00583,222000.0,222000.0,222000.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Calaveras County Public Works,BCG0001236,Operating Assistance Sliding Scale,300902,64CO18-00591,52917.0,52917.0,0.0,52917.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,County of Shasta Department of Public Works,BCG0001272,Operating Assistance Sliding Scale ,300902,64CO18-00582,84664.0,84664.0,84664.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Eastern Sierra Transit Authority,BCG0001201,Operating Assistance Sliding Scale,300902,64CO18-00586,226560.0,226560.0,200417.15,26142.85,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Fresno Council of Governments,BCG0001329,Operating Assistance Sliding Scale,300902,64CO18-00600,222000.0,222000.0,222000.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,"Greyhound Lines, Inc.",BCG0001229,Operating Assistance Sliding Scale,300902,64CO18-00593,238714.0,238714.0,183192.3,55521.7,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Humboldt Transit Authority,BCG0001220,Operating Assistance Sliding Scale,300902,64CO18-00580,222000.0,222000.0,222000.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Kern Regional Transit,BCG0001129,Operating Assistance Sliding Scale,300902,64CO18-00585,222000.0,222000.0,222000.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Klamath Trinity Non-Emergency Transportation​,BCG0001262,Operating Assistance Sliding Scale ,300902,64CO18-00588,6175.0,6175.0,0.0,6175.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Lake Transit Authority,BCG0001126,Operating Assistance Sliding Scale ,300902,64CO18-00596,209643.0,209643.0,209643.0,0.0,0,Open
2018,5311(f) Cont,CA-2018-114 | 0019000012-F,2018,Lake Transit Authority,BCG0001127,Operating Assistance Sliding Scale,300902,64CO18-00596,158108.0,158108.0,158108.0,0.0,0,Open
