ntd_id_x,ntd_id_y,agency_name_ntd,name_airtable,doing_business_as,reporter_acronym,organization_type_x,organization_type_y,roles,organization_type_z,reporter_type,city,itp_id,opm_id_drmt,mobility_services_operated,mpo_rtpa,_merge,,,Left only =  NTD,Right Only = Airtable
90295,90295,City of Whittier,City of Whittier,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Reduced Reporter,Whittier,328,,"Whittier Dial-A-Ride Plus,Whittier Dial-A-Ride",Southern California Association of Governments,both,,,,
9R02-91079,9R02-91079,City of Woodlake,City of Woodlake,,,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Woodlake,371,654008,Woodlake Dial-A-Ride,Tulare County Association of Governments,both,,,,
9R02-91112,9R02-91112,Colusa County Transit Agency,Colusa County Transit Agency,,CCTA,"City, County or Local Government Unit or Department of Transportation",Independent Agency,,,Rural Reporter,Colusa,74,306002,Colusa County Transit,,both,,,,
90196,90196,County of Placer,Placer County,Placer County Department of Public Works,DPW,"City, County or Local Government Unit or Department of Transportation",County,,,Full Reporter,Auburn,251,331004,"Placer County Transit,Placer County Dial-A-Ride,Placer Commuter Express",Sacramento Area Council of Governments,both,,,,
9R02-99438,9R02-99438,County of Shasta Department of Public Works,Shasta County,,,"City, County or Local Government Unit or Department of Transportation",County,,,Rural Reporter,Redding,,,,,both,,,,
9R02-91048,9R02-91048,County of Siskiyou,Siskiyou County,Siskiyou County Transit,STAGE,"City, County or Local Government Unit or Department of Transportation",County,,,Rural Reporter,Yreka,83,247002,Siskiyou Transit and General Express,,both,,,,
90089,90089,County of Sonoma,Sonoma County,Sonoma County Transit,SCT,"City, County or Local Government Unit or Department of Transportation",County,,,Full Reporter,Santa Rosa,314,449003,"Sonoma County Transit,Healdsburg Shuttle,Sonoma County Paratransit",Metropolitan Transportation Commission,both,,,,
90298,90298,County of Ventura,Ventura County,,PWATD,"City, County or Local Government Unit or Department of Transportation",County,,,,,84,,,,both,,,,
9R02-91062,9R02-91062,Eastern Sierra Transit Authority,Eastern Sierra Transit Authority,,ESTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Rural Reporter,Bishop,99,926002,"Eastern Sierra Transit Authority Community Routes,Reds Meadow Shuttle,Mammoth Lakes Trolleys,ESTA 395 Routes,Mammoth Lakes Buses,Lone Pine Dial-A-Ride,Walker Pine Dial-A-Ride,Bishop Dial-A-Ride,Mammoth Lakes Dial-A-Ride",,both,,,,
90243,,Easy Lift Transportation,Easy Lift Transportation,,,Private-Non-Profit Corporation,,,,Reduced Reporter,Goleta,100,542014,"Easy Lift Dial-A-Ride,Non Emergency Accessible Transportation",Santa Barbara County Association of Governments,both,,,,
90229,90229,El Dorado County Transit Authority,El Dorado County Transit Authority,,EDCTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Reduced Reporter,Diamond Springs,101,309002,"El Dorado Transit,Sacramento/South Lake Tahoe Connector Bus,El Dorado Dial-A-Ride,SAC-MED,El Dorado Paratransit",Sacramento Area Council of Governments,both,,,,
90146,90146,Foothill Transit,Foothill Transit,,,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,West Covina,112,719007,Foothill Transit,Southern California Association of Governments,both,,,,
9R02-91007,9R02-91007,Fresno County Rural Transit Agency,Fresno County Rural Transit Agency,,FCRTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Rural Reporter,Fresno,117,610004,Sanger Express,Fresno Council of Governments,both,,,,
9R02-91088,9R02-91088,Glenn Transit Service,Glenn County,,GTS,Independent Public Agency or Authority of Transit Service,County,,,Rural Reporter,Willows,122,311002,,,both,,,,
90035,90035,Gold Coast Transit District,Gold Coast Transit,,GCTD,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Oxnard,123,756004,"Gold Coast Access,Gold Coast Transit,Gold Coast Late Night Safe Rides",Southern California Association of Governments,both,,,,
90004,90004,Golden Empire Transit District,Golden Empire Transit District,,GET,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Bakersfield,126,615005,GET Bus,Kern Council of Governments,both,,,,
90016,90016,Golden Gate Bridge Highway and Transportation District,Golden Gate Bridge Highway and Transportation District,,GGBHTD,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,San Francisco,127,438002,"Golden Gate Transit,Golden Gate Ferry,Golden Gate Oracle Park Ferry ,Golden Gate Chase Center Ferry",Metropolitan Transportation Commission,both,,,,
9R02-91036,9R02-91036,Humboldt Transit Authority,Humboldt Transit Authority,,HTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Rural Reporter,Eureka,135,112005,"Humboldt Transit Authority Dial-A-Ride,Redwood Transit System,Samoa Transit System,Willow Creek",,both,,,,
90226,90226,Imperial County Transportation Commission,Imperial County Transportation Commission,,ICTC,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,El Centro,138,1113001,Imperial Valley Transit,Southern California Association of Governments,both,,,,
9R02-91059,9R02-91059,Kern Regional Transit,Kern County,,KT,"City, County or Local Government Unit or Department of Transportation",County,,,Rural Reporter,Bakersfield,146,615006,"Kern Transit,Mojave Dial-A-Ride,Rosamonde Dial-A-Ride,Tehachapi Dial-A-Ride,Frazier Park Dial-A-Ride,Kern River Valley Dial-A-Ride,Lamont Dial-A-Ride,Bakersfield Medical Dial-A-Ride,Lost Hills Dial-A-Ride",Kern Council of Governments,both,,,,
90200,90200,Kings County Area Public Transit Agency,Kings County Area Public Transit Agency,,KART,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Hanford,148,616003,"KART,KART Paratransit,KART Flex Route",Kings County Association of Governments,both,,,,
9R02-91053,9R02-91053,Lake Transit Authority,Lake Transit Authority,,LTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Rural Reporter,Lower Lake,159,117002,"Lake Transit,Clearlake/Lower Lake Dial-A-Ride,Lakeport Dial-A-Ride",,both,,,,
9R02-91098,9R02-91098,Lassen Transit Service Agency,Lassen Transit Service Agency,,LTSA,"City, County or Local Government Unit or Department of Transportation",Independent Agency,,,Rural Reporter,Susanville,162,218002,"Lassen Rural Bus,Lassen Rural Bus Dial-A-Ride,Eagle Lake Demand Responsive Service,Bizz Johnson Trail Shuttle",,both,,,,
90144,90144,Livermore Amador Valley Transit Authority,Livermore Amador Valley Transit Authority,,LAVTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Livermore,167,401003,"Tri-Valley Wheels,Tri-Valley Wheels Paratransit,Wheels School",Metropolitan Transportation Commission,both,,,,
90023,90023,Long Beach Transit,Long Beach Transit,,LBT,Other Publicly-Owned or Privately Chartered Corporation,Independent Agency,,,Full Reporter,Long Beach,170,,"Long Beach Transit,Galaxy Express,AquaLink,UCLA/Westwood Commuter Express",Southern California Association of Governments,both,,,,
90154,90154,Los Angeles County Metropolitan Transportation Authority ,Los Angeles County Metropolitan Transportation Authority,Metro,LACMTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Los Angeles,182,719001,"LA Metro Bus,LA Metro Rail",Southern California Association of Governments,both,,,,
9R02-91005,9R02-91005,Madera County,Madera County,Madera County Connection Transit,MCC,"City, County or Local Government Unit or Department of Transportation",County,,,Rural Reporter,Madera,188,,"Madera County Connection,Eastern Madera County Medical Escort Van,Eastern Madera County Senior Bus",,both,,,,
90234,90234,Marin County Transit District,Marin County Transit District,,,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,San Rafael,194,421002,"Marin Transit,West Marin Stagecoach,Novato Dial-A-Ride,Dillon Beach/Tomales Dial-A-Ride,Point Reyes Dial-A-Ride",Metropolitan Transportation Commission,both,,,,
9R02-91047,9R02-91047,Mendocino Transit Authority,Mendocino Transit Authority,,,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Rural Reporter,Ukiah,198,123002,"Mendocino Transit Authority,Ukiah Dial-A-Ride,Fort Bragg Dial-A-Ride,Ukiah Paratransit,Fort Bragg Paratransit",,both,,,,
90094,,Metropolitan Transportation Commission,Metropolitan Transportation Commission,,MTC,"MPO, COG or Other Planning Agency",MPO/RTPA,Metropolitan Planning Organization,,Full Reporter,San Francisco,200,,,,both,,,,
90062,90062,Monterey-Salinas Transit,Monterey-Salinas Transit,,MST,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Monterey,208,527001,"Monterey-Salinas Transit,MST Monterey Trolley,Carmel Valley Grapevine Express,MST RIDES,MST Senior Shuttles,MST Special Medical Trips",Association of Monterey Bay Area Governments,both,,,,
99358,99358,Morongo Band of Mission Indians,Morongo Band of Mission Indians,,,Tribe,Tribe,,,Reduced Reporter,Banning,212,836002,Morongo Dial-A-Ride,Southern California Association of Governments,both,,,,
9R02-91090,9R02-91090,Morongo Basin Transit Authority,Morongo Basin Transit Authority,,MBTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Rural Reporter,Joshua Tree,212,540002,"MBTA Bus,MBTA Ready Ride",Southern California Association of Governments,both,,,,
9R02-91012,9R02-91012,Mountain Area Regional Transit Authority,Mountain Area Regional Transit Authority,Mountain Transit,MARTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Rural Reporter,Big Bear Lake,214,,"Mountain Transit,Mountain Transit Weekend Trolley,Mountain Transit Dial-A-Ride",Southern California Association of Governments,both,,,,
90088,90088,Napa Valley Transportation Authority,Napa Valley Transportation Authority,,NVTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Napa,218,428002,"Vine Transit,Yountville Trolley,Calistoga Shuttle,St Helena Shuttle,Taxi Scrip,Vine Go,American Canyon Transit,City of Napa On-Demand",Metropolitan Transportation Commission,both,,,,
9R02-91095,9R02-91095,Nevada County Transit Services,Nevada County,,,"City, County or Local Government Unit or Department of Transportation",County,,,Rural Reporter,Nevada City,221,329002,"Nevada County Connects,Nevada County Now",,both,,,,
90030,90030,North County Transit District,North County Transit District,,NCTD,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Oceanside,226,1137002,"NCTD Coaster,NCTD Sprinter,NCTD BREEZE,NCTD FLEX",San Diego Association of Governments,both,,,,
99364,99364,North Fork Rancheria of Mono Indians of California,North Fork Rancheria of Mono Indians of California,,NFR,Tribe,Tribe,,,Reduced Reporter,North Fork,227,,North Fork Rancheria Tribal Transit Program,Madera County Transportation Commission,both,,,,
90029,90029,Omnitrans,OmniTrans,,,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,San Bernardino,232,836004,"OmniTrans,OmniRide,OmniTrans sbX,OmniAccess",Southern California Association of Governments,both,,,,
90036,90036,Orange County Transportation Authority,Orange County Transportation Authority,,OCTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Orange,235,1230003,"OC Flex,OC Access,Irvine Shuttle,OC Bus,OC Streetcar",Southern California Association of Governments,both,,,,
9R02-99454,,Palo Verde Valley Transit Agency,Palo Verde Valley Transit Agency,Desert Roadrunner,PVVTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Rural Reporter,Blythe,238,833005,Desert Roadrunner,Southern California Association of Governments,both,,,,
90287,90287,Palos Verdes Peninsula Transit Authority,Palos Verdes Peninsula Transit Authority,Desert Roadrunner,,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Reduced Reporter,Palos Verdes Peninsula,239,719029,Palos Verdes Peninsula Transit Authority,Southern California Association of Governments,both,,,,
90223,90223,Paratransit Inc,Paratransit Inc,,,Independent Public Agency or Authority of Transit Service,,,,Full Reporter,Sacramento,242,,East Bay Paratransit,,both,,,,
90134,90134,Peninsula Corridor Joint Powers Board,Peninsula Corridor Joint Powers Board,Caltrain,PCJPB,Independent Public Agency or Authority of Transit Service,,,,Full Reporter,San Carlos,246,441001,"Caltrain,Caltrain Shuttles",Metropolitan Transportation Commission,both,,,,
9R02-91119,9R02-91119,Plumas County Transportation Commission,Plumas County Transportation Commission,,PCTC,"City, County or Local Government Unit or Department of Transportation",,Regional Transportation Planning Agency,,Rural Reporter,Quincy,,,,,both,,,,
99425,99425,Pomona Valley Transportation Authority,Pomona Valley Transportation Authority,,PVTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,La Verne,69,719004,"Claremont Dial-A-Ride,San Dimas Dial-A-Cab,One Step,Get About,Ready Now",Southern California Association of Governments,both,,,,
90093,90093,Redding Area Bus Authority,Redding Area Bus Authority,,RABA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Redding,259,245002,"Burney Express,Redding Area Bus Authority,Redding Area Paratransit",Shasta County Regional Transportation Planning Agency,both,,,,
9R02-91097,9R02-91097,Redwood Coast Transit Authority,Redwood Coast Transit Authority,,RCTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Rural Reporter,Crescent City,261,108002,"Redwood Coast Transit,Redwood Coast Dial-A-Ride",,both,,,,
90218,90218,Riverside County Transportation Commission,Riverside County Transportation Commission,,RCTC,"MPO, COG or Other Planning Agency",,,,Full Reporter,Riverside,267,,,,both,,,,
90031,90031,Riverside Transit Agency,Riverside Transit Agency,,RTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Riverside,269,833007,"Riverside Transit,Riverside Transit Dial-A-Ride",Southern California Association of Governments,both,,,,
90019,90019,Sacramento Regional Transit District,Sacramento Regional Transit District,Sacramento RT,SacRT,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Sacramento,273,334004,"SacRT Light Rail,e-van,SacRT GO,Elk Grove Transit Services,Folsom Stage Line,Causeway Connection,Sacramento Airport Express,SacRT Bus,Rancho CordoVan,SacRT Neighborhood Ride",Sacramento Area Council of Governments,both,,,,
90302,,San Bernardino County Transportation Authority,San Bernardino County Transportation Authority,,SBCTA,"MPO, COG or Other Planning Agency",,,,Full Reporter,San Bernardino,385,,,,both,,,,
90095,90095,San Diego Association of Governments,San Diego Association of Governments,,SANDAG,"MPO, COG or Other Planning Agency",,"Metropolitan Planning Organization,Regional Transportation Planning Agency,Census Affiliate Data Center",,Full Reporter,San Diego,276,,,,both,,,,
90026,90026,San Diego Metropolitan Transit System,San Diego Metropolitan Transit System,,MTS,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,San Diego,278,1137021,SDG&E Silver Line Vintage Trolley,San Diego Association of Governments,both,,,,
90003,90003,San Francisco Bay Area Rapid Transit District,San Francisco Bay Area Rapid Transit District,,BART,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Oakland,279,401004,Bay Area Rapid Transit,Metropolitan Transportation Commission,both,,,,
90225,90225,San Francisco Bay Area Water Emergency Transportation Authority,San Francisco Bay Area Water Emergency Transit Authority,San Francisco Bay Ferry,WETA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,San Francisco,280,438004,"San Francisco Bay Ferry,San Francisco Bay Ferry Giants Service",Metropolitan Transportation Commission,both,,,,
99422,99422,San Joaquin Council,San Joaquin Council,,,"MPO, COG or Other Planning Agency",,,,Full Reporter,Stockton,,,,,both,,,,
90012,,San Joaquin Regional Transit District,San Joaquin Regional Transit District,,RTD,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Stockton,284,1039006,"SJRTD Local,SJRTD BRT Express,SJRTD Commuter,SJRTD Hopper,RTD Dial-A-Ride",San Joaquin Council of Governments,both,,,,
90297,90297,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,,SLOCOG,"MPO, COG or Other Planning Agency",Council of Governments,"Regional Transportation Planning Agency,Metropolitan Planning Organization,Census Affiliate Data Center",,Reduced Reporter,San Luis Obispo,288,,Paso Robles Dial-A-Ride,,both,,,,
90206,90206,San Luis Obispo Regional Transit Authority,San Luis Obispo Regional Transit Authority ,,SLORTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,San Luis Obispo,289,540005,"South County Area Transit,San Luis Obispo Regional Transit Authority,Paso Express,Avila Beach Trolly,Runabout Paratransit,Senior Go!,SLO Dial-A-Ride,Shandon-Paso Robles Dial-A-Ride,Templeton-Paso Robles Dial-A-Ride,Nipomo Dial-A-Ride",San Luis Obispo Council of Governments,both,,,,
90009,90009,San Mateo County Transit District,San Mateo County Transit District,SamTrans,,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,San Carlos,290,441010,"SamTrans,Redi-Wheels,RediCoast,Bayshore Brisbane Senior Shuttle,SamTrans Shuttles,SamCoast,FLX Pacifica",Metropolitan Transportation Commission,both,,,,
90303,,Santa Barbara County Association of Governments,Santa Barbara County Association of Governments,,SBCAG,"MPO, COG or Other Planning Agency",,"Metropolitan Planning Organization,Regional Transportation Planning Agency,Local Transportation Authority,Census Affiliate Data Center",,Reduced Reporter,Santa Barbara,379,542006,Clean Air Express,Santa Barbara County Association of Governments,both,,,,
90020,90020,Santa Barbara Metropolitan Transit District,Santa Barbara Metropolitan Transit District,,SBMTD,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Santa Barbara,293,542004,Santa Barbara Metropolitan Transit District,Santa Barbara County Association of Governments,both,,,,
90013,90013,Santa Clara Valley Transportation Authority,Santa Clara Valley Transportation Authority,,VTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,San Jose,294,443001,"VTA Light Rail,VTA Rapid Bus,VTA Express Bus,VTA Bus,VTA ACE Shuttles,Valley Medical Center Shuttle,VTA ACCESS,VTA School Tripper",Metropolitan Transportation Commission,both,,,,
90006,90006,Santa Cruz Metropolitan Transit District,Santa Cruz Metropolitan Transit District,,SCMTD,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Santa Cruz,296,544002,"Santa Cruz METRO,METRO PeraCruz,Watsonville Circulator",Association of Monterey Bay Area Governments,both,,,,
9R02-91038,9R02-91038,Sierra County Transportation Commission,Sierra County Transportation Commission,,SCTC,"City, County or Local Government Unit or Department of Transportation",,Regional Transportation Planning Agency,,Rural Reporter,Downieville,304,,,,both,,,,
90232,90232,Solano County Transit,Solano County Transit,,SolTrans,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Vallejo,310,448004,"Solano Express,SolTrans,SolTrans ADA Paratransit",Metropolitan Transportation Commission,both,,,,
90299,90299,Sonoma-Marin Area Rail Transit District,Sonoma-Marin Area Rail Transit District,,SMART,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Petaluma,315,449004,Sonoma-Marin Area Rail Transit,Metropolitan Transportation Commission,both,,,,
90151,90151,Southern California Regional Rail Authority,Southern California Regional Rail Authority,Metrolink,,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Los Angeles,323,719018,Metrolink,Southern California Association of Governments,both,,,,
90079,90079,SunLine Transit Agency,SunLine Transit Agency,,,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Thousand Palms,327,833008,"SunLine Transit,SunLine School Tripper,SunDial Paratransit,SunLine 10 Commuter Link,SunRide,Palm Springs Buzz",Southern California Association of Governments,both,,,,
99256,99256,Susanville Indian Rancheria,Susanville Indian Rancheria,,SIR,Tribe,Tribe,,,Reduced Reporter,Susanville,329,,,,both,,,,
9R02-91089,9R02-91089,Tehama County,Tehama County,,,"City, County or Local Government Unit or Department of Transportation",County,,,Rural Reporter,Gerber,334,252002,"Tehama Rural Area eXpress,ParaTRAX",,both,,,,
90162,90162,The Eastern Contra Costa Transit Authority,Eastern Contra Costa Transit Authority,Tri Delta Transit,,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Antioch,336,407002,,Metropolitan Transportation Commission,both,,,,
9R02-91101,9R02-91101,Town of Truckee,Town of Truckee,,TOT,"City, County or Local Government Unit or Department of Transportation",City/Town,,,Rural Reporter,Truckee,340,329003,"TART Connect,Truckee TART Dial A Ride,Placer TART Paratransit",,both,,,,
90173,90173,Transit Joint Powers Authority for Merced County,Transit Joint Powers Authority for Merced County,Merced The Bus,,Independent Public Agency or Authority of Transit Service,,,,Full Reporter,Merced,343,1024002,"Merced The Bus,Merced The Micro Bus,Merced The Bus Paratransit",Merced County Association of Governments,both,,,,
9R02-91035,9R02-91035,Trinity County,Trinity County,,TCDOT,"City, County or Local Government Unit or Department of Transportation",County,,,Rural Reporter,Weaverville,344,253003,Trinity Transit,,both,,,,
9R02-91055,9R02-91055,Tulare County Area Transit,Tulare County Area Transit,,TCAT,"City, County or Local Government Unit or Department of Transportation",Independent Agency,,,Rural Reporter,Visalia,346,654005,"Tulare County Area Transit,LOOP Bus,Tulare County Dial-A-Ride",Tulare County Association of Governments,both,,,,
99370,99370,Tule River Tribe,Tule River Tribe,Tule River Indian Tribe,,Tribe,Tribe,,,Reduced Reporter,Porterville,347,,Tule River Transportation Services,Tulare County Association of Governments,both,,,,
9R02-91057,9R02-91057,Tuolumne County Transit,Tuolumne County Transit Agency,,TCT,Independent Public Agency or Authority of Transit Service,Independent Agency,,,,,482,1055004,"Tuolumne County Transit,Dodge Ridge Ski Bus,Tuolumne County Dial-Your-Ride",,both,,,,
90142,90142,University of California Davis,University of California Davis,Unitrans,,University,University - Public,,,Full Reporter,Davis,351,357001,"Unitrans,UC Davis Health MedTrans",Sacramento Area Council of Governments,both,,,,
90164,90164,Ventura County Transportation Commission,Ventura County Transportation Commission,,VCTC,Independent Public Agency or Authority of Transit Service,,Regional Transportation Planning Agency,,Full Reporter,Camarillo,380,756001,"Valley Express,VCTC Intercity,Valley Express Dial-A-Ride",Southern California Association of Governments,both,,,,
90148,90148,Victor Valley Transit Authority,Victor Valley Transit Authority,,VVTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Hesperia,360,836005,"Victor Valley Transit,Victor Valley ADA Direct Access",Southern California Association of Governments,both,,,,
90159,90159,Western Contra Costa Transit Authority,Western Contra Costa Transit Authority,,,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Pinole,368,407003,"WestCAT Local,WestCAT Lynx Express,WestCAT Express Bus to BART,WestCAT Senior Dial-A-Ride,WestCAT ADA Paratransit",Metropolitan Transportation Commission,both,,,,
90090,90090,Yolo County Transportation District,Yolo County Transportation District,Yolobus,YCTD,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Woodland,372,357002,"Yolobus,Yolobus Special,Causeway Connection",Sacramento Area Council of Governments,both,,,,
9R02-91070,9R02-91070,Yosemite Area Regional Transportation System,Yosemite Area Regional Transportation System,,YARTS,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Rural Reporter,Merced,374,1024004,Yosemite Area Regional Transportation System,Merced County Association of Governments,both,,,,
90061,90061,Yuba-Sutter Transit Authority,Yuba-Sutter Transit Authority,,YSTA,Independent Public Agency or Authority of Transit Service,Independent Agency,,,Full Reporter,Marysville,376,358001,"Yuba-Sutter Transit,Yuba-Sutter Rural Transit,Yuba-Sutter Dial-A-Ride,Sacramento Express",Sacramento Area Council of Governments,both,,,,
90233,90233,Yuma County Intergovernmental Public Transportation Authority,Yuma County Intergovernmental Public Transportation Authority,,YCAT,Independent Public Agency or Authority of Transit Service,Independent Agency,,,,,386,1113004,Yuma County Area Transit,Southern California Association of Governments,both,,,,
99262,99262,Yurok Tribe,Yurok Tribe,,,Tribe,Tribe,,,Reduced Reporter,Klamath,377,,Yurok Tribe Transit Service,,both,,,,
A0003-99444,,Bob Hope Airport,,Hollywood Burbank Airport,BUR,Other,,,,Reduced Asset Reporter,Burbank,,,,,left_only,,,,
9R02-99442,,Calaveras Transit Agency,,,,Independent Public Agency or Authority of Transit Service,,,,Rural Reporter,San Andreas,,,,,left_only,,,,
90078,,Central Contra Costa Transit Authority,,County Connection,,Independent Public Agency or Authority of Transit Service,,,,Full Reporter,Concord,,,,,left_only,,,,
9R02-91041,,City of Dixon ,,Readi-Ride,,"City, County or Local Government Unit or Department of Transportation",,,,Rural Reporter,Dixon,,,,,left_only,,,,
A0003-99445,,City of La Habra Heights,,,,"City, County or Local Government Unit or Department of Transportation",,,,Reduced Asset Reporter,La Habra Heights,,,,,left_only,,,,
A0003-99448,,City of Palmdale,,,,"City, County or Local Government Unit or Department of Transportation",,,,Reduced Asset Reporter,Palmdale,,,,,left_only,,,,
9R02-90216,,County of Sacramento Municipal Services Agency Department of Transportation,,,,"City, County or Local Government Unit or Department of Transportation",,,,Rural Reporter,Sacramento,,,,,left_only,,,,
99452,,Elk Valley Rancheria,,,EVR,Tribe,,,,Reduced Reporter,Crescent City,,,,,left_only,,,,
90144,,Livermore   Amador Valley Transit Authority,,,LAVTA,Independent Public Agency or Authority of Transit Service,,,,Full Reporter,Livermore,,,,,left_only,,,,
90270,,Los Angeles County Department of Public Works - Avocado Heights,,,LACDPW,"City, County or Local Government Unit or Department of Transportation",,,,Reduced Reporter,Alhambra,,,,,left_only,,,,
90271,,Los Angeles County Department of Public Works - East LA,,,LACDPW,"City, County or Local Government Unit or Department of Transportation",,,,Reduced Reporter,Alhambra,,,,,left_only,,,,
90272,,Los Angeles County Department of Public Works - East Valinda,,,LACDPW,"City, County or Local Government Unit or Department of Transportation",,,,Reduced Reporter,Alhambra,,,,,left_only,,,,
90276,,Los Angeles County Department of Public Works - South Whittier,,,LACDPW,"City, County or Local Government Unit or Department of Transportation",,,,Reduced Reporter,Alhambra,,,,,left_only,,,,
90277,,Los Angeles County Department of Public Works - Whittier,,,LACDPW,"City, County or Local Government Unit or Department of Transportation",,,,Reduced Reporter,Alhambra,,,,,left_only,,,,
90269,,Los Angeles County Dept of Public Works - Athens Shuttle Service,,,,"City, County or Local Government Unit or Department of Transportation",,,,Reduced Reporter,Alhambra,,,,,left_only,,,,
90273,,Los Angeles County Dept of Public Works - Florence-Firestone,,,LACDPW,"City, County or Local Government Unit or Department of Transportation",,,,Reduced Reporter,Alhambra,,,,,left_only,,,,
90274,,Los Angeles County Dept of Public Works - King Medical Center Shuttle Service,,,,"City, County or Local Government Unit or Department of Transportation",,,,Reduced Reporter,Alhambra,,,,,left_only,,,,
90275,,Los Angeles County Dept of Public Works - Lennox Shuttle,,,,"City, County or Local Government Unit or Department of Transportation",,,,Reduced Reporter,Alhambra,,,,,left_only,,,,
90279,,Los Angeles County Dept of Public Works - Willowbrook et al,,,,"City, County or Local Government Unit or Department of Transportation",,,,Reduced Reporter,Alhambra,,,,,left_only,,,,
90278,,Los Angeles County Dept of Public Works - Willowbrook Shuttle,,,,"City, County or Local Government Unit or Department of Transportation",,,,Reduced Reporter,Alhambra,,,,,left_only,,,,
9R02-91082,,Mariposa County Transit,,Mari-Go,,"City, County or Local Government Unit or Department of Transportation",,,,Rural Reporter,Mariposa,,,,,left_only,,,,
9R02-91008,,Modoc Transportation Agency,,,MTA,"City, County or Local Government Unit or Department of Transportation",,,,Rural Reporter,Alturas,,,,,left_only,,,,
A0003-99446,,Playa Vista Parks and Landscape Corp,,,PVPAL,Other,,,,Reduced Asset Reporter,Playa Vista,,,,,left_only,,,,
A0016,,Redding Area Bus Authority ,,,RABA,Independent Public Agency or Authority of Transit Service,,,,Group Plan Sponsor,Redding,,,,,left_only,,,,
90304,,Riverfront Joint Powers Authority,,,,Independent Public Agency or Authority of Transit Service,,,,Building Reporter,Sacramento,,,,,left_only,,,,
9R02-91009,,San Benito County LTA,,,"SBCLTA				",Independent Public Agency or Authority of Transit Service,,,,Rural Reporter,Hollister,,,,,left_only,,,,
A0005,,Ventura Intercity Service Transit Authority,,,VISTA,Independent Public Agency or Authority of Transit Service,,,,Group Plan Sponsor,Camarillo,,,,,left_only,,,,
9R02-99426,,Wasco City of,,,,"City, County or Local Government Unit or Department of Transportation",,,,Rural Reporter,Wasco,,,,,left_only,,,,
