Name,Services,GTFS Dataset,Dataset Type,Category,agency_id,network_id,Service Type (from Services),Provider,Operator,Dataset Producers (from GTFS Dataset),Dataset Publisher (from GTFS Dataset),GTFS Dataset Type,Pathways Status,Fares v2 Status,Flex Status,Schedule Comments (from GTFS Dataset),ITP Activities (from GTFS Dataset),ITP Schedule TODO (from GTFS Dataset),Fares Notes (from GTFS Dataset),route_id,Reference Static GTFS Service,URI,Currently Operating (from Services),Provider Reporting Category,Reference Static Feed
Fresno Area Express – Fresno Schedule,Fresno Area Express,Fresno Schedule,GTFS Schedule,primary,,,fixed-route,City of Fresno,City of Fresno,City of Fresno,City of Fresno,GTFS Schedule,NA,Unknown,,,,,Ruth emailed brian.marshall@fresno.gov <brian.marshall@fresno.gov> in October,,,https://gis4u.fresno.gov/downloads/zip/fax_gtfs.zip,1 checked out of 1,Core,
GET Bus – GET Schedule,GET Bus,GET Schedule,GTFS Schedule,primary,,,fixed-route,Golden Empire Transit District,Golden Empire Transit District,Golden Empire Transit District,Golden Empire Transit District,GTFS Schedule,NA,Unknown,,,,,"Optibus offered to make an intro, after a pilot with LADOT",,,http://eta.getbus.org/rtt/public/utility/gtfs.aspx,1 checked out of 1,Core,
Glendale Beeline – Glendale Schedule,Glendale Beeline,Glendale Schedule,GTFS Schedule,primary,,,fixed-route,City of Glendale,City of Glendale,City of Glendale,City of Glendale,GTFS Schedule,NA,Unknown,,,,,Ruth emailed jtyack@lodi.gov,,,http://glendaleca.gov/Home/ShowDocument?id=29549,1 checked out of 1,Core,
Glendora Shuttles – Glendora Schedule,Glendora Shuttles,Glendora Schedule,GTFS Schedule,primary,,,fixed-route,City of Glendora,City of Glendora,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,Vendor published,,,"GTFS Schedule Creation,GTFS Into Google",Train transit provider to own,Published by Trillium,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/glendora-ca-us/glendora-ca-us.zip,1 checked out of 1,Core,
Go West Shuttle – Go West Schedule,Go West Shuttle,Go West Schedule,GTFS Schedule,primary,,,fixed-route,City of West Covina,City of West Covina,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,NA,,,GTFS Schedule Creation,Get into google,No fixed route services at City of Covina,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/westcovina-ca-us/westcovina-ca-us.zip,1 checked out of 1,Core,
Nevada County Connects – Nevada County Schedule,Nevada County Connects,Nevada County Schedule,GTFS Schedule,primary,,,fixed-route,Nevada County,Nevada County,"Nevada County,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/goldcountrystage-ca-us/goldcountrystage-ca-us.zip,1 checked out of 1,Core,
Grapeline – Grapeline Schedule,Grapeline,Grapeline Schedule,GTFS Schedule,primary,,,"fixed-route,deviated fixed-route",City of Lodi,City of Lodi,City of Lodi,,GTFS Schedule,NA,Unknown,Needed - Existing GTFS,,,,Ruth emailed pwdept@lodi.gov in October,,,https://www.lodi.gov/DocumentCenter/View/2453/lodi_gtfs-ZIP,1 checked out of 1,Core,
GTrans – G Trans Schedule,GTrans,G Trans Schedule,GTFS Schedule,primary,,,fixed-route,City of Gardena,City of Gardena,"City of Gardena,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Unknown,,,,,,,,http://ridegtrans.com/gtfs.zip,1 checked out of 1,Core,
Guadalupe Flyer – Guadalupe Schedule,Guadalupe Flyer,Guadalupe Schedule,GTFS Schedule,primary,,,fixed-route,City of Guadalupe,Santa Maria Organization of Transportation Helpers (SMOOTH) ,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Vendor published,,,"GTFS Schedule Creation,GTFS Into Google",Train transit provider to own,Published by Trillium,,,https://data.trilliumtransit.com/gtfs/guadalupeflyer-ca-us/guadalupeflyer-ca-us.zip,1 checked out of 1,Core,
Samoa Transit System – Humboldt Schedule,Samoa Transit System,Humboldt Schedule,GTFS Schedule,primary,1716,,fixed-route,Humboldt Transit Authority,Humboldt Transit Authority,"Humboldt Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/humboldtcounty-ca-us/humboldtcounty-ca-us.zip,1 checked out of 1,Core,
Huntington Park Express – Huntington Schedule,Huntington Park Express,Huntington Schedule,GTFS Schedule,primary,,,fixed-route,City of Huntington Park,City of Huntington Park,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,Needs GTFS Schedule,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/huntingtonpark-ca-us/huntingtonpark-ca-us.zip,1 checked out of 1,Other Public Transit,
Irvine Shuttle – OCTA Schedule,Irvine Shuttle,OCTA Schedule,GTFS Schedule,primary,,,fixed-route,Orange County Transportation Authority,Orange County Transportation Authority,Orange County Transportation Authority,Orange County Transportation Authority,GTFS Schedule,NA,Unknown,,,,,Via offered to introduce us as part of the Flex rollout,"400,401,403,405",,https://octa.net/current/google_transit.zip,1 checked out of 1,Core,
KART – Kings Schedule,KART,Kings Schedule,GTFS Schedule,primary,,,fixed-route,Kings County Area Public Transit Agency,Kings County Area Public Transit Agency,Kings County Area Public Transit Agency,Connexionz Inc.,GTFS Schedule,NA,Unknown,,,,,"Fares came up during the assessment. KART is interested, but changing rules soon and doesn't want extra work. Wants to discuss with Connexionz.",,,http://kart.connexionz.net/rtt/public/utility/gtfs.aspx,1 checked out of 1,Core,
La Campana – La Campana Schedule,La Campana,La Campana Schedule,GTFS Schedule,primary,,,fixed-route,City of Bell,City of Bell,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,Needs GTFS Schedule,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/lacampana-ca-us/lacampana-ca-us.zip,1 checked out of 1,Core,
Laguna Beach Trolley – Laguna Beach Schedule,Laguna Beach Trolley,Laguna Beach Schedule,GTFS Schedule,primary,,,fixed-route,City of Laguna Beach,City of Laguna Beach,"City of Laguna Beach,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/lagunabeach-ca-us/lagunabeach-ca-us.zip,1 checked out of 1,Core,
Lake Transit – Lake Schedule,Lake Transit,Lake Schedule,GTFS Schedule,primary,,,"deviated fixed-route,fixed-route,ADA paratransit,reservations",Lake Transit Authority,Lake Transit Authority,"Lake Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,Trillium - To code,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/laketransit-ca-us/laketransit-ca-us.zip,1 checked out of 1,Core,
Susanville Indian Rancheria Public Transportation Program – Tehama Schedule,Susanville Indian Rancheria Public Transportation Program,Tehama Schedule,GTFS Schedule,primary,62,,,Susanville Indian Rancheria,South Tahoe Airporter,"Trillium Inc.,Susanville Indian Rancheria,Tehama County",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/tehama-ca-us/tehama-ca-us.zip,1 checked out of 1,Core,
Lawndale Beat – Lawndale Schedule,Lawndale Beat,Lawndale Schedule,GTFS Schedule,primary,,,fixed-route,City of Lawndale,City of Lawndale,"City of Lawndale,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,NA,,,,,This system has been suspended until further notice.,,,http://data.trilliumtransit.com/gtfs/cityoflawndale-ca-us/cityoflawndale-ca-us.zip,0 checked out of 1,Core,
Madera Metro – Madera Area Express Schedule,Madera Metro,Madera Area Express Schedule,GTFS Schedule,primary,,,fixed-route,City of Madera,City of Madera,"City of Madera,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,https://data.trilliumtransit.com/gtfs/cityofmadera-ca-us/cityofmadera-ca-us.zip,1 checked out of 1,Core,
Madera County Connection – Madera County Connection Schedule,Madera County Connection,Madera County Connection Schedule,GTFS Schedule,primary,,,fixed-route,Madera County,Madera County,"Madera County,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/maderactc-ca-us/maderactc-ca-us.zip,1 checked out of 1,Other Public Transit,
Manteca Transit – Manteca Schedule,Manteca Transit,Manteca Schedule,GTFS Schedule,primary,,,fixed-route,City of Manteca,City of Manteca,City of Manteca,,GTFS Schedule,NA,"Unknown,Provider to Publish",,,,,Ruth emailed transitadmin@ci.manteca.ca.us,,,https://www.ci.manteca.ca.us/CommunityDevelopment/MantecaTransit/googletransit/google_transit.zip,1 checked out of 1,Core,
Marguerite Shuttle – Stanford Schedule,Marguerite Shuttle,Stanford Schedule,GTFS Schedule,primary,,,,Stanford University,Stanford University,Stanford University,,GTFS Schedule,NA,Blocked - Vendor,,,,,"Ruth reached out to the contractor for the shuttle and offered to make the data. Marcy declined to participate because they ""don't want too much ridership.""",,,https://transportation-forms.stanford.edu/google/google_transit.zip,1 checked out of 1,Other Transit,
Mendocino Transit Authority – Mendocino Schedule,Mendocino Transit Authority,Mendocino Schedule,GTFS Schedule,primary,,,"fixed-route,deviated fixed-route",Mendocino Transit Authority,Mendocino Transit Authority,"Mendocino Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,Needed - Existing GTFS,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/mendocino-ca-us/mendocino-ca-us.zip,1 checked out of 1,Core,
Menlo Park Shuttles – Menlo Park Schedule,Menlo Park Shuttles,Menlo Park Schedule,GTFS Schedule,primary,,,"fixed-route,on-demand",Menlo Park Shuttles,MV Transportation,Menlo Park Shuttles,,GTFS Schedule,NA,Provider to Publish,Needed - Existing GTFS,,,,Ruth reached out to the contractor for the shuttle and offered to make the data. Their vendor is interested and will work on publishing what we gave them.,,,https://www.menlopark.org/DocumentCenter/View/7320/google_transit.zip,1 checked out of 1,Other Public Transit,
Merced The Bus – Merced Schedule,Merced The Bus,Merced Schedule,GTFS Schedule,primary,,,fixed-route,Transit Joint Powers Authority for Merced County,Transit Joint Powers Authority for Merced County,"Transit Joint Powers Authority for Merced County,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/mercedthebus-ca-us/mercedthebus-ca-us.zip,1 checked out of 1,Core,
LA Metro Bus – LA Metro Bus Schedule,LA Metro Bus,LA Metro Bus Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,Provider to Publish,,,,,"Nina's team is interested. Ruth sent a dataset over in October. Note that because they split rail and bus into different feeds, transfers can't be modeled between them.",,,https://gitlab.com/LACMTA/gtfs_bus/raw/master/gtfs_bus.zip,1 checked out of 1,Core,
LA Metro Rail – LA Metro Rail Schedule,LA Metro Rail,LA Metro Rail Schedule,GTFS Schedule,primary,,,fixed-route,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,Provider to Publish,,,,,"Nina's team is interested. Ruth sent a dataset over in October. Note that because they split rail and bus into different feeds, transfers can't be modeled between them.",,,https://gitlab.com/LACMTA/gtfs_rail/raw/master/gtfs_rail.zip,1 checked out of 1,Core,
Mission Bay Shuttles – Mission Bay Schedule,Mission Bay Shuttles,Mission Bay Schedule,GTFS Schedule,primary,,,fixed-route,Mission Bay Transportation Management Agency,Mission Bay Transportation Management Agency,"Mission Bay Transportation Management Agency,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,NA,,,,,,,,http://data.trilliumtransit.com/gtfs/missionbaytma-ca-us/missionbaytma-ca-us.zip,1 checked out of 1,Other Transit,
Montebello Bus Lines – Montebello Schedule,Montebello Bus Lines,Montebello Schedule,GTFS Schedule,primary,,,fixed-route,City of Montebello,City of Montebello,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,GTFS Schedule,NA,Needs GTFS Schedule,,,GTFS Schedule Creation,Get into google,,,,https://github.com/LACMTA/los-angeles-regional-gtfs/raw/main/montebello-ca-us/montebello-ca-us.zip,1 checked out of 1,Core,
Monterey-Salinas Transit – Monterey Salinas Schedule,Monterey-Salinas Transit,Monterey Salinas Schedule,GTFS Schedule,primary,,,"ADA paratransit,fixed-route",Monterey-Salinas Transit,Monterey-Salinas Transit,Monterey-Salinas Transit,,GTFS Schedule,NA,Provider to Publish,Needed - Existing GTFS,,,,"We gave them the data in October. They need help thinking through how to publish it, and confirm its accuracy.",*,,http://www.mst.org/google/google_transit.zip,1 checked out of 1,Core,
MBTA Bus – Morongo Basin Schedule,MBTA Bus,Morongo Basin Schedule,GTFS Schedule,primary,,,fixed-route,Morongo Basin Transit Authority,Morongo Basin Transit Authority,"Morongo Basin Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/morongobasin-ca-us/morongobasin-ca-us.zip,1 checked out of 1,Other Public Transit,
Morro Bay Transit – Morro Bay Schedule,Morro Bay Transit,Morro Bay Schedule,GTFS Schedule,primary,,,"fixed-route,deviated fixed-route",City of Morro Bay,City of Morro Bay,City of Morro Bay,Transnnovation Inc,GTFS Schedule,NA,Unknown,Published - Needs Flex Additions,,,,Ruth reached out to vendor and offered to create data: marcy@mjcaction.com. The vendor is not enthusiastic.,mbt_fixed route,,http://mjcaction.com/MJC_GTFS_Public/morrobay_google_transit.zip,1 checked out of 1,Other Public Transit,
MVGO – MVGO Schedule,MVGO,MVGO Schedule,GTFS Schedule,primary,,,fixed-route,Mountain View Transportation Management Association,Mountain View Transportation Management Association,"Trillium Inc.,Mountain View Transportation Management Association",Trillium Inc.,GTFS Schedule,NA,Blocked - Vendor,,,,,GMV is willing to facilitate in 2022. Ruth reached out directly to joyce.rooney@redondo.org to learn if it's possible to introduce this data post-GMV in their pipeline.,,,http://data.trilliumtransit.com/gtfs/mountainview-ca-us/mountainview-ca-us.zip,1 checked out of 1,Other Public Transit,
Needles Area Transit – Needles Schedule,Needles Area Transit,Needles Schedule,GTFS Schedule,primary,,,deviated fixed-route,City of Needles,City of Needles,"City of Needles,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,Trillium - To code,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/needles-ca-us/needles-ca-us.zip,1 checked out of 1,Core,
NCTD BREEZE – North County Schedule,NCTD BREEZE,North County Schedule,GTFS Schedule,primary,,,fixed-route,North County Transit District,North County Transit District,North County Transit District,,GTFS Schedule,NA,Unknown,,,,,Ruth emailed rcashin@nctd.org,*,,http://www.gonctd.com/google_transit.zip,1 checked out of 1,Core,
Norwalk Transit System – Norwalk Schedule,Norwalk Transit System,Norwalk Schedule,GTFS Schedule,primary,,,fixed-route,City of Norwalk,City of Norwalk,"City of Norwalk,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Unknown,,,,,"Trillium produces a feed for Norwalk with fares data, but the feed on the agency's website is produced by Avail. Ruth contacted Avail and Norwalk.",,,http://data.trilliumtransit.com/gtfs/nts-ca-us/nts-ca-us.zip,1 checked out of 1,Core,
OmniTrans – OmniTrans Schedule,OmniTrans,OmniTrans Schedule,GTFS Schedule,primary,,,fixed-route,OmniTrans,OmniTrans,OmniTrans,,GTFS Schedule,NA,Unknown,,,,,"Trapeze offered to make an intro, after a pilot with SacRT",*,,http://www.omnitrans.org/google/google_transit.zip,1 checked out of 1,Core,
Palos Verdes Peninsula Transit Authority – Palos Verdes PTA Schedule,Palos Verdes Peninsula Transit Authority,Palos Verdes PTA Schedule,GTFS Schedule,primary,,,,Palos Verdes Peninsula Transit Authority,Palos Verdes Peninsula Transit Authority,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/pvpta-ca-us/pvpta-ca-us.zip,1 checked out of 1,Core,
Pasadena Transit – Pasadena Schedule,Pasadena Transit,Pasadena Schedule,GTFS Schedule,primary,,,fixed-route,City of Pasadena,City of Pasadena,City of Pasadena,,GTFS Schedule,NA,Provider to Publish,,,,,They wrote back and asked to pick this up in early November. Ruth produced the data and will bring Olivia on board for scheduling. bcard@cityofpasadena.net,,,http://rt.pasadenatransit.net/rtt/public/utility/gtfs.aspx,1 checked out of 1,Core,
San Luis Obispo Regional Transit Authority – SLORTA Schedule,San Luis Obispo Regional Transit Authority,SLORTA Schedule,GTFS Schedule,primary,,,fixed-route,San Luis Obispo Regional Transit Authority ,San Luis Obispo Regional Transit Authority ,"San Luis Obispo Regional Transit Authority ,Connexionz Inc.",Connexionz Inc.,GTFS Schedule,NA,Provider published,,,,,Asked for data from DRMT,*,,http://slo.connexionz.net/rtt/public/resource/gtfs.zip,1 checked out of 1,Core,
PresidiGo – PresidiGo Schedule,PresidiGo,PresidiGo Schedule,GTFS Schedule,primary,,,fixed-route,Presidio Trust,Presidio Trust,GMV Syncromatics Inc,GMV Syncromatics Inc,GTFS Schedule,NA,Blocked - Vendor,,,,,GMV is willing to facilitate in 2022. Ruth reached out directly to joyce.rooney@redondo.org to learn if it's possible to introduce this data post-GMV in their pipeline.,,,https://presidiobus.com/gtfs,1 checked out of 1,Other Transit,
Placer County Transit – Placer Schedule,Placer County Transit,Placer Schedule,GTFS Schedule,primary,,,fixed-route,Placer County,Placer County,"Placer County,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/placercounty-ca-us/placercounty-ca-us.zip,1 checked out of 1,Core,
Plumas Transit Systems – Plumas Schedule,Plumas Transit Systems,Plumas Schedule,GTFS Schedule,primary,,,fixed-route,Plumas Transit Systems,Plumas Transit Systems,"Plumas Transit Systems,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Needs GTFS Schedule,,,,,,,,http://data.trilliumtransit.com/gtfs/plumas-ca-us/plumas-ca-us.zip,1 checked out of 1,Core,
Porterville Transit – TCRTA Schedule,Porterville Transit,TCRTA Schedule,GTFS Schedule,primary,,,fixed-route,Tulare County Regional Transit Agency,Tulare County Regional Transit Agency,Tulare County Regional Transit Agency,"Tulare County Regional Transit Agency,Tulare County Association of Governments",GTFS Schedule,,Vendor published,,,,,,"P1,P2,P3,P4,P5,P6,P9",,https://tularecog.org/tcag/data-gis-modeling/gtfs-data/tulare-county-regional-transit-agency-tcrta-gtfs,1 checked out of 1,Core,
Redding Area Bus Authority – Redding Schedule,Redding Area Bus Authority,Redding Schedule,GTFS Schedule,primary,,*,fixed-route,Redding Area Bus Authority,Redding Area Bus Authority,"Redding Area Bus Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/redding-ca-us/redding-ca-us.zip,1 checked out of 1,Core,
Redwood Coast Transit – Redwood Coast Schedule,Redwood Coast Transit,Redwood Coast Schedule,GTFS Schedule,primary,,,"fixed-route,deviated fixed-route,ADA paratransit",Redwood Coast Transit Authority,Redwood Coast Transit Authority,"Redwood Coast Transit Authority,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,Trillium - To code,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/delnorte-ca-us/delnorte-ca-us.zip,1 checked out of 1,Core,
Ridgecrest Transit – Ridgecrest Schedule,Ridgecrest Transit,Ridgecrest Schedule,GTFS Schedule,primary,,,"ADA paratransit,deviated fixed-route,on-demand",City of Ridgecrest,City of Ridgecrest,City of Ridgecrest,Trillium Inc.,GTFS Schedule,NA,,Needed - Existing GTFS,,"GTFS Schedule Creation,GTFS Into Google,GTFS Schedule Handoff",Train transit provider to own,"Trillium created this data, including Fares, but it hasn't been adopted by the agency.",,,https://data.trilliumtransit.com/gtfs/cityofridgecrest-ca-us/cityofridgecrest-ca-us.zip,1 checked out of 1,Core,
Riverside Transit – Riverside Schedule,Riverside Transit,Riverside Schedule,GTFS Schedule,primary,,,fixed-route,Riverside Transit Agency,Riverside Transit Agency,Riverside Transit Agency,,GTFS Schedule,NA,Unknown,,,,,Fares brought up during data assessment process,,,https://www.riversidetransit.com/google_transit.zip,1 checked out of 1,Core,
Roseville Transit – Roseville Schedule,Roseville Transit,Roseville Schedule,GTFS Schedule,primary,Roseville,,fixed-route,City of Roseville,City of Roseville,City of Roseville,Sacramento Regional Transit District,GTFS Schedule,NA,Provider to Publish,,,,,Part of the regional data SacRT agreed to publish in October,,,http://iportal.sacrt.com/GTFS/Roseville/google_transit.zip,1 checked out of 1,Core,
SacRT Light Rail – Sacramento Schedule,SacRT Light Rail,Sacramento Schedule,GTFS Schedule,primary,SRTD,,fixed-route,Sacramento Regional Transit District,Sacramento Regional Transit District,Sacramento Regional Transit District,Sacramento Regional Transit District,GTFS Schedule,NA,Provider to Publish,,,,,"We gave SacRT the fare data in October, and they agreed to publish it.","507,519,533",,http://iportal.sacrt.com/GTFS/SRTD/google_transit.zip,1 checked out of 1,Core,
Sage Stage Intercity – Sage Stage Schedule,Sage Stage Intercity,Sage Stage Schedule,GTFS Schedule,primary,,,"deviated fixed-route,ADA paratransit,reservations",Modoc Transportation Authority ,Modoc Transportation Authority ,"Modoc Transportation Authority ,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,Needed - Existing GTFS,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/sagestage-ca-us/sagestage-ca-us.zip,1 checked out of 1,Core,
San Diego Trolley – San Diego Schedule,San Diego Trolley,San Diego Schedule,GTFS Schedule,primary,MTS,,fixed-route,San Diego Metropolitan Transit System,"""San Diego Trolley, Inc.""",San Diego Metropolitan Transit System,,GTFS Schedule,NA,Unknown,,,,,,"510,520,530",,https://www.sdmts.com/google_transit_files/google_transit.zip,0 checked out of 1,Core,
San Juan Capistrano Free Weekend Trolley – San Juan Capistrano Schedule,San Juan Capistrano Free Weekend Trolley,San Juan Capistrano Schedule,GTFS Schedule,primary,,,fixed-route,City of San Juan Capistrano,City of San Juan Capistrano,Trillium Inc.,Trillium Inc.,GTFS Schedule,NA,Needs GTFS Schedule,,,"GTFS Schedule Creation,GTFS Into Google",Ask OCTA to own,,,,http://data.trilliumtransit.com/gtfs/sanjuancapistrano-ca-us/sanjuancapistrano-ca-us.zip,1 checked out of 1,Other Public Transit,
Santa Clarita Transit – Santa Clarita Schedule,Santa Clarita Transit,Santa Clarita Schedule,GTFS Schedule,primary,,,fixed-route,City of Santa Clarita,City of Santa Clarita,City of Santa Clarita,City of Santa Clarita,GTFS Schedule,NA,Blocked - Vendor,Needed - Existing GTFS,,,,Asked for data from DRMT. Ruth sent and suggested a followup with Taylor.,,,http://apps.santaclaritatransit.com/rtt/public/utility/gtfs.aspx,1 checked out of 1,Core,
Santa Cruz METRO – Santa Cruz Schedule,Santa Cruz METRO,Santa Cruz Schedule,GTFS Schedule,primary,,*,fixed-route,Santa Cruz Metropolitan Transit District,Santa Cruz Metropolitan Transit District,Santa Cruz Metropolitan Transit District,,GTFS Schedule,NA,Provider to Publish,,,,,we delivered the spec and draft data to their IT team who will own publishing/maintenance,,,http://scmtd.com/google_transit/google_transit.zip,1 checked out of 1,Core,
Santa Ynez Valley Transit – Santa Ynez Schedule,Santa Ynez Valley Transit,Santa Ynez Schedule,GTFS Schedule,primary,,,"fixed-route,deviated fixed-route",City of Solvang,City of Solvang,City of Solvang,Transnnovation Inc,GTFS Schedule,NA,Blocked - Vendor,Published - Needs Flex Additions,,,,Ruth reached out to vendor and offered to create data.,,,http://mjcaction.com/MJC_GTFS_Public/syvt_google_transit.zip,1 checked out of 1,Core,
Siskiyou Transit and General Express – Siskiyou Schedule,Siskiyou Transit and General Express,Siskiyou Schedule,GTFS Schedule,primary,,,"fixed-route,deviated fixed-route,ADA paratransit",Siskiyou County,Siskiyou County,"Siskiyou County,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,Trillium - To code,,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/siskiyou-ca-us/siskiyou-ca-us.zip,1 checked out of 1,Core,
SLO Transit – SLO Schedule,SLO Transit,SLO Schedule,GTFS Schedule,primary,,,fixed-route,City of San Luis Obispo,City of San Luis Obispo,"City of San Luis Obispo,Mecatran",,GTFS Schedule,NA,Unknown,,,,,,,,https://app.mecatran.com/urb/ws/feed/c2l0ZT1zbG90cmFuc2l0O2NsaWVudD1zZWxmO2V4cGlyZT07dHlwZT1ndGZzO2tleT0zZTMwMzM1OTRiMTE2NzA0N2IxNjQwNjA0ZjQwMGMzMzdiM2E1MTQ0,1 checked out of 1,Core,
Spirit Bus – Spirit Bus Schedule,Spirit Bus,Spirit Bus Schedule,GTFS Schedule,primary,,,fixed-route,City of Monterey Park,City of Monterey Park,"City of Monterey Park,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Unknown,,,,,,,,http://data.trilliumtransit.com/gtfs/montereypark-ca-us/montereypark-ca-us.zip,0 checked out of 1,Core,
SunLine Transit – SunLine Schedule,SunLine Transit,SunLine Schedule,GTFS Schedule,primary,,,fixed-route,SunLine Transit Agency,SunLine Transit Agency,SunLine Transit Agency,,GTFS Schedule,NA,Unknown,,,,,Olivia to bring up in Data Assessment call.,*,,https://www.sunline.org/transit/google_transit.zip,1 checked out of 1,Core,
Torrance Transit – Torrance Schedule,Torrance Transit,Torrance Schedule,GTFS Schedule,primary,,,fixed-route,City of Torrance,City of Torrance,City of Torrance,,GTFS Schedule,NA,Unknown,,,,,,,,https://transit.torranceca.gov/home/showdocument?id=16673,1 checked out of 1,Core,
Trinity Transit – Trinity Schedule,Trinity Transit,Trinity Schedule,GTFS Schedule,primary,,,fixed-route,Trinity County,Trinity County,"Trinity County,Trillium Inc.",Trillium Inc.,GTFS Schedule,NA,Vendor published,,Transit.land has an updated link that seems active for Trinity,,,Published by Trillium,,,http://data.trilliumtransit.com/gtfs/weaverville-ca-us/weaverville-ca-us.zip,1 checked out of 1,Core,
Tulare County Area Transit – TCRTA Schedule,Tulare County Area Transit,TCRTA Schedule,GTFS Schedule,primary,,,"ADA paratransit,deviated fixed-route,fixed-route",Tulare County Regional Transit Agency,Tulare County Regional Transit Agency,Tulare County Regional Transit Agency,"Tulare County Regional Transit Agency,Tulare County Association of Governments",GTFS Schedule,,Needed,Trillium - To code,,,,,"C10,C20,C30,C40,C50,C60,C70,C80,C90",,https://tularecog.org/tcag/data-gis-modeling/gtfs-data/tulare-county-regional-transit-agency-tcrta-gtfs,1 checked out of 1,Core,
Unitrans – Unitrans Schedule,Unitrans,Unitrans Schedule,GTFS Schedule,primary,530-752-BUSS,,fixed-route,"""University of California, Davis""","""University of California, Davis""","""University of California, Davis""",Sacramento Regional Transit District,GTFS Schedule,NA,Provider to Publish,,,,,"They gave us the Excel+macro they use to create GTFS data. It has other errors, which we can fix and add Fares if we have time.",,,https://unitrans.ucdavis.edu/media/gtfs/Unitrans_GTFS.zip,1 checked out of 1,Core,
